company1,company2,company3,company4,company5,company6,company7,company8,company9,outcome
29.109,53.75,21.875,45.375,90.75,27.5,66.125,21.5,43.5,1
28.891,53.5,22.0,?,90.875,27.0,?,21.125,42.75,1
?,53.625,21.875,45.0,?,26.75,66.375,?,43.375,1
?,54.0,21.75,45.375,90.25,?,66.875,21.0,43.75,1
29.938,?,22.0,45.0,91.125,27.125,?,20.875,44.0,1
30.219,53.75,22.375,45.625,92.5,27.0,67.375,22.0,44.125,1
?,?,22.0,45.5,91.875,?,?,22.25,?,1
30.063,54.25,21.875,?,91.625,?,?,22.0,?,1
30.5,53.875,21.375,?,91.875,27.25,69.0,22.0,45.125,1
30.891,53.5,21.25,?,91.625,?,67.875,?,?,1
30.781,53.25,20.875,45.0,91.75,27.5,67.75,21.375,44.75,1
30.719,53.75,21.125,45.0,91.125,?,67.875,21.875,44.5,1
30.781,54.0,20.75,?,91.25,?,?,?,44.125,1
31.063,54.5,?,45.125,91.375,28.5,67.75,21.5,44.375,1
31.172,55.0,21.375,45.125,92.5,27.75,?,21.875,44.75,1
30.938,54.375,21.0,44.75,92.5,?,67.0,21.5,44.375,1
31.781,55.0,21.375,45.625,92.0,27.75,67.625,22.0,?,1
?,55.125,21.25,45.75,93.0,27.5,?,21.875,45.0,1
32.5,56.0,21.25,46.375,?,27.625,68.0,22.0,44.875,0
32.563,56.375,20.875,46.375,93.875,26.875,?,22.0,45.0,0
?,56.5,21.0,46.125,93.75,?,68.875,22.125,44.875,0
32.438,56.875,21.25,?,88.125,27.375,68.625,22.5,?,0
?,56.375,20.75,45.75,85.125,?,68.75,22.125,?,0
32.109,56.625,20.625,?,85.875,26.75,69.0,22.0,?,0
32.891,56.375,20.25,45.25,84.125,?,69.375,21.875,45.25,0
33.672,56.25,20.625,45.875,84.375,?,?,21.75,45.125,0
33.719,55.875,20.5,45.25,84.75,26.875,69.875,22.125,?,0
34.281,56.75,20.625,45.25,84.5,27.125,69.625,22.125,44.75,0
34.828,56.875,20.75,?,83.5,26.75,69.875,22.0,?,0
34.563,56.625,20.625,45.0,82.0,26.75,70.0,?,44.25,0
34.0,56.0,?,44.875,80.625,26.625,69.625,22.0,44.75,0
34.063,56.875,20.625,44.0,80.375,26.75,?,22.0,44.75,0
?,57.0,20.375,43.75,78.75,26.25,68.875,21.875,43.875,0
33.609,56.375,20.625,43.875,78.75,26.375,68.375,21.875,43.25,0
33.5,56.25,20.75,43.5,78.625,26.25,68.375,21.875,42.875,0
34.5,56.25,20.625,?,79.125,26.25,68.375,21.875,42.875,0
35.563,56.5,20.875,44.125,79.375,?,68.875,22.125,43.5,0
36.281,56.5,20.875,45.125,78.875,26.25,69.25,22.25,44.0,0
36.609,56.75,20.875,45.625,78.625,26.125,69.625,22.25,43.75,0
35.938,57.0,21.0,45.875,?,?,70.125,22.0,?,0
35.781,57.25,21.125,46.125,78.875,26.125,?,22.0,44.25,0
35.719,57.75,21.25,46.0,79.0,26.125,71.125,22.125,45.0,0
35.563,57.75,21.375,46.5,78.75,26.0,71.375,?,45.625,0
35.063,57.75,21.5,45.875,78.625,25.875,71.125,22.125,45.75,0
?,58.0,21.875,46.0,80.125,25.875,71.75,?,46.25,0
35.219,?,22.0,45.625,80.5,25.875,71.625,?,45.75,0
35.563,58.5,22.375,46.0,80.25,25.375,71.75,22.375,?,0
36.0,?,22.0,45.5,79.5,25.125,?,22.25,44.75,0
35.719,57.375,22.25,?,79.625,24.75,71.25,22.375,?,0
35.563,57.5,22.5,45.25,79.75,?,71.25,22.375,45.0,0
35.0,58.25,22.375,?,79.375,25.375,71.375,22.0,46.0,0
?,57.125,22.0,44.875,78.875,?,72.0,21.875,45.125,0
34.109,57.0,21.75,45.0,78.75,24.625,?,22.0,44.875,0
34.438,57.625,21.875,45.0,78.75,25.125,72.5,22.0,45.125,0
34.391,58.0,21.75,?,78.375,25.625,73.5,22.125,45.375,0
?,58.0,21.75,44.875,79.0,25.5,73.375,22.125,45.25,0
34.672,57.625,21.875,44.875,79.0,26.0,?,22.25,45.5,0
34.172,57.125,21.5,44.875,79.0,25.625,73.375,22.25,45.5,0
?,57.0,21.75,45.375,79.375,26.375,74.5,22.375,45.5,0
?,56.75,21.5,44.875,79.0,26.375,73.0,22.25,45.375,0
33.5,57.25,21.625,45.375,78.875,26.625,73.125,22.125,45.25,0
33.922,57.5,21.5,?,79.125,26.5,?,22.25,45.125,0
?,?,21.375,45.5,78.625,?,74.25,22.125,45.125,0
33.172,57.625,21.875,46.25,78.5,26.25,73.5,22.25,45.0,0
34.0,57.125,21.75,46.875,78.125,?,73.75,22.5,45.125,0
34.5,57.5,21.75,?,77.375,27.125,74.0,?,?,0
?,57.875,21.5,48.125,75.625,27.0,74.625,22.375,45.25,0
34.172,58.125,21.375,48.125,75.5,27.25,?,?,?,0
?,?,21.25,47.75,73.25,?,74.125,22.5,44.875,0
32.422,57.875,?,46.75,?,26.0,73.5,?,43.875,0
32.0,58.25,20.5,?,73.625,26.125,72.625,22.0,43.0,0
?,58.625,20.5,?,?,26.125,72.75,?,?,0
?,58.375,20.375,?,75.25,?,72.75,22.125,44.75,0
32.422,58.5,20.5,47.25,75.5,26.125,73.875,22.0,45.75,0
33.078,59.0,20.625,?,76.25,26.0,75.875,22.0,?,0
33.172,59.75,21.0,?,77.25,26.25,75.875,22.25,46.375,0
33.578,59.75,21.125,48.0,78.125,?,77.0,?,46.375,0
?,60.25,21.5,?,79.25,?,77.0,22.125,46.125,0
33.75,59.875,21.625,?,78.75,26.0,76.625,22.125,46.875,0
?,60.0,21.875,47.75,79.625,?,76.875,22.375,48.0,0
34.078,60.0,22.25,?,77.75,?,76.5,22.25,47.875,0
33.578,60.125,22.375,46.375,77.375,?,75.375,21.875,?,0
?,59.375,22.5,?,72.0,26.75,75.75,22.375,48.625,0
?,58.75,22.25,46.0,71.375,25.5,75.5,22.375,48.25,0
35.0,58.25,?,45.75,72.25,25.75,75.75,22.5,?,0
35.0,57.625,21.75,?,72.375,25.75,75.5,22.625,48.5,0
34.75,57.5,21.75,46.25,73.25,25.75,75.875,?,?,0
34.25,57.125,?,47.0,73.375,?,77.25,?,48.5,0
34.672,57.125,21.125,?,72.875,25.125,77.75,22.875,48.375,0
35.0,57.375,21.25,48.125,?,25.25,79.5,22.5,48.375,0
34.922,58.375,?,48.5,74.75,25.875,79.25,22.875,?,0
34.0,58.75,21.0,48.125,74.375,?,78.125,22.75,?,0
33.672,58.625,20.375,48.125,73.875,25.5,78.0,22.875,48.625,0
?,58.125,19.875,?,73.0,25.5,77.875,22.75,?,0
33.5,57.75,?,47.375,73.0,25.375,78.0,?,?,0
34.25,58.25,?,48.25,73.875,25.75,79.0,23.625,49.0,0
35.922,58.375,20.375,?,?,25.625,79.5,23.25,?,0
35.5,57.75,20.125,?,73.875,25.625,78.875,22.875,48.5,0
35.422,?,20.125,?,73.875,25.5,79.125,22.75,48.5,0
34.828,58.0,19.75,48.625,73.5,25.375,77.875,22.75,48.25,0
?,58.375,20.25,48.375,73.25,25.5,79.25,22.5,?,0
35.328,58.625,20.125,48.75,73.25,25.25,79.0,23.0,47.875,0
35.422,59.25,20.25,?,73.125,25.25,79.625,22.75,?,0
?,59.125,20.0,48.0,72.75,25.5,?,22.75,48.0,0
35.672,59.125,20.125,49.375,73.25,?,79.5,23.0,48.0,0
35.828,57.625,20.125,48.875,72.25,25.125,77.875,22.25,47.75,0
35.172,57.5,19.75,?,71.75,24.625,78.375,22.5,47.5,0
35.422,57.375,20.0,48.625,70.625,24.875,78.25,22.625,47.625,0
36.828,57.625,20.375,49.5,71.25,25.25,80.5,23.0,48.125,0
36.75,57.5,?,49.625,71.5,25.0,79.875,22.875,48.25,0
36.828,58.0,20.375,?,70.75,25.0,80.375,23.375,?,0
35.672,58.0,20.125,50.125,70.75,24.625,80.125,?,?,0
36.172,58.0,20.0,?,70.75,24.125,80.0,?,47.875,0
?,58.0,20.125,51.875,71.0,24.25,80.0,23.625,?,0
?,58.25,20.0,51.5,72.375,24.375,80.75,?,48.375,0
37.672,57.75,?,51.25,72.25,?,80.0,24.0,47.625,0
?,57.5,20.75,50.875,?,23.625,79.5,23.625,?,0
36.672,58.0,20.875,?,71.875,23.625,79.0,24.0,47.5,0
37.078,57.0,20.5,50.0,72.25,23.375,78.75,24.5,47.75,0
36.078,56.875,?,49.75,72.75,23.75,78.5,?,46.875,0
37.0,57.25,?,49.75,73.0,23.625,79.0,24.5,47.125,0
37.422,57.125,21.0,?,72.625,23.75,78.25,24.375,?,0
37.078,56.625,20.875,?,72.75,23.375,77.625,?,?,0
37.672,57.375,?,49.75,72.75,23.625,78.375,?,?,0
38.078,57.375,22.0,?,72.625,23.75,78.875,25.0,?,0
?,57.0,21.5,?,72.5,?,78.875,24.625,?,0
?,57.375,21.5,50.75,72.25,?,78.75,24.625,47.5,0
39.0,57.375,21.0,?,72.625,?,79.125,24.25,?,0
39.25,57.625,21.125,?,72.625,?,78.75,24.125,?,0
?,?,20.875,50.375,72.125,23.0,?,23.75,47.0,0
38.328,57.25,?,50.75,72.125,?,78.625,?,?,0
?,57.5,?,?,71.25,22.375,78.625,23.75,?,0
38.25,58.0,20.625,51.375,?,23.0,79.0,23.75,46.75,0
38.0,58.125,20.625,52.75,70.375,23.0,79.25,23.375,46.5,0
37.75,58.25,20.625,?,69.625,22.875,80.0,23.5,?,0
39.828,58.625,20.5,?,?,22.5,81.0,?,47.625,0
39.672,58.75,20.375,?,70.5,22.125,82.25,24.5,47.5,0
?,59.0,20.5,52.75,70.5,21.25,82.5,?,47.625,0
39.172,58.75,?,?,70.875,21.75,82.5,24.5,47.625,0
39.0,58.25,20.625,?,71.5,21.625,83.625,24.625,47.875,0
38.922,58.375,20.375,52.5,71.0,21.625,84.25,24.75,48.375,0
39.672,58.75,20.125,?,?,22.125,84.125,24.5,48.125,0
40.922,58.875,?,?,70.5,22.125,83.5,24.5,?,0
38.25,55.5,19.5,?,69.625,21.5,81.25,22.375,45.5,0
39.5,54.0,?,49.5,68.5,?,80.875,?,?,0
39.0,54.375,19.375,?,68.75,21.375,80.625,23.25,46.875,0
?,54.875,?,?,68.75,21.125,80.75,23.375,?,0
39.078,54.875,?,51.5,68.625,?,82.875,23.75,?,0
39.0,54.875,19.625,?,68.75,21.125,85.0,24.625,47.375,0
38.422,54.25,?,50.125,?,21.375,83.125,24.375,47.5,0
38.422,53.625,19.0,?,?,?,81.875,27.125,?,0
38.328,53.125,19.0,49.875,67.125,21.0,82.625,25.0,46.75,0
?,52.5,19.125,?,67.125,?,81.375,25.125,46.5,0
36.422,52.25,18.875,?,66.5,20.25,80.5,25.25,46.875,0
?,52.25,18.75,48.5,67.875,19.625,80.375,?,46.5,0
37.5,?,18.375,48.875,68.625,19.75,80.75,24.25,46.875,0
37.422,?,18.25,48.75,?,?,81.875,24.25,?,0
37.578,?,18.75,?,68.625,19.25,80.5,?,46.875,0
37.828,52.75,19.0,?,69.5,18.875,81.125,23.25,47.25,0
36.328,52.125,?,47.375,68.375,?,79.625,23.25,?,0
?,52.25,18.625,47.5,68.625,18.375,79.75,24.25,?,0
36.5,52.25,18.625,48.0,?,18.875,80.875,24.125,46.875,0
36.922,52.25,18.5,47.875,68.25,18.75,?,?,?,0
37.328,52.0,18.375,47.875,68.625,18.75,80.625,24.375,47.125,0
37.25,?,18.25,47.375,69.125,18.75,80.25,23.875,46.875,0
36.922,51.0,?,47.25,69.25,18.5,78.0,23.625,47.0,0
37.422,?,18.25,45.875,69.125,18.625,?,23.25,47.125,0
?,50.375,18.25,45.25,69.25,18.875,76.5,22.875,47.0,0
38.672,49.0,18.125,44.0,69.375,18.875,75.375,22.875,46.875,0
39.672,44.125,17.125,?,68.25,17.625,68.625,21.375,?,0
38.5,?,17.0,38.5,67.625,?,68.5,21.0,44.5,0
38.922,43.25,17.125,39.75,67.5,16.0,69.25,20.875,44.375,0
?,43.25,?,40.125,67.75,16.375,68.5,21.125,45.25,0
39.172,44.0,17.25,39.5,67.0,16.625,68.625,20.875,45.5,0
39.828,44.0,?,39.875,65.5,17.25,?,21.125,45.5,0
39.828,43.5,17.125,40.375,63.5,17.625,66.75,21.125,45.5,0
40.0,43.625,17.125,40.0,62.75,17.25,65.5,21.125,45.875,0
41.0,43.5,?,40.125,63.125,17.375,?,20.875,?,0
40.422,?,16.75,?,62.875,17.125,?,20.75,47.0,0
40.828,43.625,16.375,39.875,62.75,17.125,65.5,20.75,?,0
40.5,43.75,16.375,39.125,61.625,17.25,65.125,20.125,48.125,0
40.328,44.75,16.125,39.125,61.375,16.875,66.25,20.25,48.25,0
40.0,44.625,?,40.25,62.0,17.125,67.375,21.125,49.25,0
?,45.125,16.125,39.75,61.5,17.5,68.625,21.0,?,0
39.172,45.25,16.125,?,61.875,17.5,69.625,21.0,?,0
39.25,45.375,?,40.0,62.0,17.5,69.375,21.5,49.25,0
38.922,46.0,16.25,40.0,?,?,69.5,22.125,49.0,0
?,?,?,40.0,?,18.5,68.875,22.5,49.5,0
?,46.125,15.625,40.125,60.875,17.75,66.875,23.0,49.25,0
38.328,45.5,14.875,40.125,60.125,17.0,66.0,?,48.75,0
38.0,45.5,15.125,41.0,?,17.0,?,21.75,?,0
39.0,46.25,15.25,?,60.25,17.375,67.25,21.625,48.375,0
38.328,?,?,41.875,60.75,17.25,67.375,22.375,48.75,0
38.922,?,15.625,42.625,?,17.125,66.875,22.5,48.625,0
38.0,44.875,15.5,44.25,61.5,17.25,68.875,?,?,0
38.672,44.625,15.375,44.0,61.75,17.5,?,23.25,?,0
39.578,44.875,?,44.375,61.25,17.5,69.5,23.75,?,0
?,45.375,16.125,44.25,61.75,18.0,69.75,24.25,49.875,0
42.0,46.125,?,45.25,63.375,18.0,?,23.375,51.25,0
41.828,45.875,?,?,63.0,17.875,?,22.875,50.75,0
41.25,45.5,?,45.875,62.5,18.0,70.0,23.25,?,0
41.75,?,?,46.375,62.875,18.5,69.875,23.375,?,0
41.25,44.125,15.125,?,62.625,17.875,68.25,22.5,?,0
41.422,42.75,?,45.125,62.25,?,67.25,22.25,?,0
40.828,42.25,?,43.875,?,18.0,67.25,22.625,49.375,0
40.0,41.625,?,42.75,61.5,17.625,?,?,48.375,0
39.578,?,15.25,43.25,62.25,18.0,66.625,21.875,48.0,0
39.922,41.5,15.375,43.0,63.0,18.125,?,22.5,?,0
40.172,41.125,?,42.375,?,17.625,67.5,22.5,47.875,0
40.0,41.375,14.875,42.625,62.75,18.0,?,23.375,?,0
40.578,41.5,14.375,42.375,62.25,18.25,68.25,23.875,48.375,0
39.5,40.75,13.875,41.75,60.25,17.375,?,22.875,47.5,0
39.328,40.5,?,41.625,?,17.75,66.625,23.125,47.625,0
39.672,40.375,13.375,41.75,59.875,17.625,?,23.0,47.0,0
?,39.25,13.25,42.0,?,17.5,65.0,?,?,0
38.578,39.875,?,41.625,57.625,18.0,?,?,?,0
38.25,39.375,?,41.5,54.875,17.75,65.125,22.25,46.0,0
38.828,40.0,?,40.75,?,18.375,?,22.375,46.5,0
39.5,40.625,?,41.125,50.375,18.125,66.0,23.0,47.875,0
40.828,40.125,?,?,50.625,17.875,65.75,22.25,48.25,0
?,39.75,?,40.75,50.875,17.625,64.125,22.25,?,0
42.078,39.375,?,39.625,52.5,17.5,?,22.125,47.625,0
42.328,38.0,12.875,39.25,52.125,17.0,62.625,?,47.625,0
42.328,38.125,?,39.5,?,?,?,21.5,?,0
41.672,?,?,?,54.875,17.625,?,21.0,?,0
41.578,?,?,39.75,?,17.75,61.0,21.25,48.375,0
?,36.25,?,39.625,?,17.875,60.125,21.125,47.375,0
41.422,36.25,?,39.75,?,17.875,60.625,21.5,47.875,0
42.328,36.875,?,39.75,?,17.625,?,?,?,0
42.328,37.0,13.25,39.75,53.75,17.625,?,22.0,46.875,0
?,36.75,?,39.75,54.5,17.5,62.125,21.625,47.375,0
41.0,36.625,?,39.375,55.125,17.0,?,21.125,46.875,0
40.328,36.5,?,38.75,?,17.0,61.375,21.25,47.125,0
40.422,36.375,14.5,38.875,?,16.5,60.75,21.0,?,0
40.0,?,14.75,38.25,54.25,16.25,61.125,20.875,47.375,0
40.75,36.5,14.875,?,?,15.625,61.25,?,48.25,0
41.078,?,14.125,38.625,54.5,15.75,61.5,?,49.0,0
42.578,37.25,?,39.375,54.5,16.125,?,21.625,?,0
43.328,?,13.875,38.75,54.5,16.25,?,21.25,50.0,0
43.25,38.0,13.75,38.75,54.5,16.25,?,21.5,50.5,0
?,37.625,13.5,39.5,54.625,16.25,61.625,21.0,?,0
?,?,?,40.25,?,17.0,62.0,21.5,49.75,0
44.078,?,?,40.75,55.25,17.0,61.125,?,49.75,0
44.75,38.0,?,42.75,56.625,17.625,61.875,21.625,50.5,0
45.172,37.75,14.5,43.0,58.0,17.125,62.0,21.75,49.625,0
44.672,?,14.375,?,57.25,17.125,?,21.625,50.25,0
?,37.125,14.125,42.625,55.875,16.875,?,21.5,49.75,0
45.0,?,14.25,?,56.0,16.875,?,21.75,?,0
44.922,37.5,?,41.375,56.0,17.0,61.875,21.875,?,0
46.5,?,?,41.625,56.75,16.625,62.625,22.375,50.5,0
47.672,37.5,?,41.875,56.5,?,?,22.25,?,0
47.0,37.0,?,41.25,?,15.875,63.5,22.0,?,0
47.422,37.125,15.5,41.875,56.0,16.0,63.875,21.875,?,0
47.5,?,15.5,42.375,55.375,16.375,62.625,22.25,50.375,0
48.828,37.625,?,?,55.375,15.875,?,22.25,?,0
48.0,38.0,15.625,42.75,?,15.75,63.5,22.375,?,0
48.5,38.875,16.25,43.75,56.125,15.375,64.125,22.75,50.875,0
?,38.5,16.375,43.125,56.0,15.0,63.625,22.5,?,0
48.25,37.75,?,43.375,56.125,14.875,?,22.375,51.125,0
47.828,37.5,?,42.625,55.5,14.75,64.375,22.25,51.25,0
47.578,?,16.0,42.0,55.375,14.75,63.375,22.25,?,0
48.828,37.375,16.125,42.5,55.875,15.0,64.5,22.5,?,0
48.0,37.25,15.75,42.0,57.125,15.0,65.125,22.125,?,0
48.578,37.25,15.5,42.0,57.0,15.625,65.375,22.25,51.0,0
48.578,37.75,?,42.5,56.5,16.25,65.375,22.25,50.25,0
48.25,38.125,15.375,43.375,?,16.75,?,22.25,?,0
?,?,15.625,43.5,?,17.0,64.875,22.5,?,0
48.328,37.25,?,42.75,56.375,?,65.0,?,?,0
48.75,37.375,?,43.25,?,16.625,?,23.375,48.875,0
48.828,37.5,15.125,43.375,?,16.375,65.5,23.625,?,0
?,37.375,15.125,?,56.875,16.75,?,24.0,48.125,0
47.672,37.375,15.125,42.75,56.5,16.75,65.375,24.125,47.625,0
47.422,37.375,14.875,42.25,?,16.5,65.125,24.0,48.0,0
47.0,37.25,14.0,?,55.125,16.875,?,24.0,46.875,0
46.672,36.5,?,40.75,?,16.125,?,24.0,46.75,0
46.578,36.75,?,40.5,50.0,15.625,?,23.75,46.5,0
46.578,36.625,?,40.75,?,16.0,64.0,24.0,46.75,0
46.672,36.25,?,?,51.125,?,?,24.25,47.125,0
45.828,?,13.625,40.625,47.625,15.25,?,24.0,46.75,0
46.5,?,13.875,40.25,?,15.375,62.5,24.625,?,0
48.172,?,?,40.875,47.0,15.5,?,?,47.0,0
48.672,34.75,13.875,41.25,48.875,15.625,62.25,25.0,?,0
49.0,34.5,13.75,41.0,47.625,16.25,63.125,?,48.625,0
49.328,34.5,?,42.5,?,16.75,64.125,24.875,49.0,0
48.922,34.25,?,42.625,48.125,17.125,64.125,25.0,48.625,0
49.172,34.0,?,43.625,47.875,17.25,?,25.125,?,0
49.172,33.375,13.75,43.75,47.625,17.5,64.0,24.875,49.25,0
50.25,?,13.75,43.125,?,17.375,64.0,24.625,?,0
52.0,33.5,13.875,44.75,48.875,17.75,64.625,25.0,50.875,0
52.0,?,14.0,44.625,?,17.5,64.75,25.375,51.0,0
51.328,34.125,14.125,?,46.0,17.375,64.25,25.25,50.0,0
51.0,?,14.25,43.875,?,17.5,?,?,?,0
51.422,?,?,?,45.125,17.375,64.75,?,?,0
51.922,34.625,14.75,?,45.375,?,64.75,25.875,49.75,0
52.75,?,?,43.375,45.75,18.0,64.625,25.75,50.0,0
53.078,34.375,14.75,43.125,46.0,?,64.125,?,49.625,0
54.078,?,?,43.0,?,17.75,63.875,26.375,49.875,0
55.078,34.375,?,42.0,?,?,62.875,26.5,49.75,0
54.5,?,15.375,43.0,?,17.5,?,?,?,0
54.578,35.0,15.625,42.5,45.75,18.125,63.5,?,50.0,0
54.672,?,?,42.625,45.625,?,63.75,27.5,?,0
55.078,?,15.5,42.625,45.375,17.875,63.0,?,?,0
56.5,?,?,42.875,45.75,17.75,62.25,27.375,50.0,0
57.578,35.375,15.75,43.125,46.125,17.75,?,27.375,50.0,0
56.828,35.75,?,43.0,45.875,17.75,62.25,?,49.875,0
56.672,35.625,16.125,43.125,?,18.0,63.125,27.625,49.875,0
55.922,35.875,16.125,43.0,45.75,17.875,63.375,27.625,49.875,0
55.0,36.0,?,42.625,?,17.625,64.5,?,49.625,0
