company1;company2;company3;company4;company5;company6;company7;company8;company9;binaryClass
17.219;?;18.75;43;?;26.375;67.75;19;?;1
?;?;19.625;?;62;26.125;?;19.125;?;1
?;?;19.875;43.875;61.875;27.25;68.5;18.25;?;1
18.672;?;?;?;62.625;27.875;69.375;18.375;?;1
17.438;?;20;41.375;59.75;?;63.25;16.5;?;1
18.109;?;19.5;?;59.625;26.625;66.25;17.125;?;1
18.563;49.375;?;?;?;27.25;65.75;16.875;?;1
18.672;?;19.25;43;61.75;28;66;?;?;1
?;?;19;?;61.75;?;65.75;17.125;?;1
19.063;?;?;?;61.875;?;66.875;?;?;1
?;?;?;?;62.125;?;66.5;?;?;1
19.063;?;20;?;61.25;29.875;66.5;16.875;?;1
18.719;?;19;43.5;60.375;29;?;?;?;1
18.438;?;18.375;?;60.375;29;65;16.5;47.5;1
19.063;?;18.375;?;60.375;?;65.75;16.375;?;1
20;?;?;?;60.75;30;67;16.75;?;1
19.891;?;18.25;44.625;60.875;30;66.25;17;?;1
19.563;?;18.625;?;?;?;66.5;16.875;?;1
?;?;?;?;61.875;31.375;67.375;17.625;?;1
20.328;?;?;?;?;?;67.625;17.875;?;1
20.563;?;18.875;?;63.375;32.125;67;18;?;1
20.438;?;?;46.125;?;32.125;66.375;18.25;?;1
20.5;?;?;46;63.25;?;?;?;47.75;1
20.563;?;?;?;63.25;30;67.375;18.25;47.5;1
20.328;?;19;45.5;62.375;?;67.375;?;46;1
?;52.875;?;?;61.375;29.25;67.375;?;?;1
20.391;?;?;45.125;61.625;?;67.5;?;46;1
20.891;52.75;19.25;?;62;?;?;?;46.75;1
20.891;?;19;?;62;29.875;68.5;17.625;?;1
21.063;?;?;?;62.25;29.875;68.875;?;47.25;1
21.281;?;19.125;46.875;62;29.375;69.25;18.25;47.125;1
21.219;?;18.875;?;?;28.875;69;18.25;?;1
20.891;?;18.625;?;61.375;?;?;17.75;47.75;1
?;?;?;?;62.25;?;69.75;?;?;1
?;?;19.125;?;63;29.125;?;?;?;1
21.219;53.125;20;?;63.25;28.75;?;18.625;48;1
?;?;?;?;?;28.375;?;18.125;?;1
?;?;?;46.375;63.25;27.625;69.5;18.125;49.125;1
?;?;?;45.75;?;?;?;18.375;?;1
21.109;?;19.25;?;63.5;28.125;70.625;18.625;49.875;1
20.891;?;19.625;46.75;63.25;?;70.625;18.375;?;1
20.438;?;?;?;?;29.5;70.25;18.125;?;1
?;?;19.5;?;63;?;70.125;?;?;1
20.828;53.875;19.375;?;?;30.125;69.75;?;?;1
21.063;?;19.25;46.75;63.25;30.25;68.75;18.875;48.625;1
21.063;?;19.5;46.375;63.75;30.5;68.75;18.875;?;1
21.109;?;?;?;?;30;?;18.75;?;1
21.172;53;?;?;62.5;?;67;18.875;50.25;1
?;53;?;45.875;62;?;67.125;19;?;1
21.281;?;?;45.625;62.125;30;67.5;?;?;1
?;?;20.625;?;62.375;?;67.375;19.75;?;1
?;?;?;46.625;62.75;29.875;68.125;?;?;1
21.719;?;23.125;47.25;?;?;69.75;20.125;52.125;1
?;?;?;?;63.75;31;69.625;?;53;1
21.672;58.125;25.125;47.75;?;30.625;?;20.125;?;1
21.563;?;?;47.875;63.625;31.625;?;21.5;51;1
?;?;?;?;63.625;31.375;?;20.875;?;1
20.609;?;22.875;47.25;63.75;?;68.75;20.125;?;1
20.891;54.875;22.625;?;62.375;29.75;67.625;19.625;50.375;1
?;?;?;?;61.625;?;66.375;?;49.5;1
20.938;?;?;44.75;61.875;30;66.5;20;?;1
20.672;?;?;?;61.5;30;66.25;?;?;1
20.672;53;23.25;?;61.75;29.875;66.5;19.75;?;1
19.938;?;?;44.125;61.875;29.375;65.25;?;?;1
20.438;52.5;?;?;62.625;29.625;?;?;?;1
21;?;24;?;64.25;?;65.625;?;48.75;1
20.781;?;?;?;64.625;30.875;?;?;?;1
21.063;?;23.625;?;64.875;30.75;66.125;?;48.625;1
21.063;?;?;?;65.625;?;67.375;?;?;1
?;?;23.875;45.25;65.375;31.125;?;?;?;1
21.063;?;23.5;?;65.75;?;?;20;?;1
20.438;?;?;43.75;63.875;28.5;66.5;18.125;?;1
?;53.625;22;?;64.25;?;66.625;18.375;?;1
?;?;21.875;?;64.25;?;66.25;18.125;?;1
20;?;21.75;?;64;27.75;66.375;18.125;44.25;1
20;?;21.5;42.625;63.75;?;65.375;18.5;44.25;1
?;53;21.25;42.625;?;?;65.75;18.125;?;1
?;?;?;?;64;28.625;66.125;19.125;44.375;1
20.891;?;?;?;64.25;?;?;19;44;1
20.828;?;21.625;43.125;?;28.875;66.375;18.875;43.125;1
20.938;?;21.875;42.875;64.75;28.375;66.25;18.875;?;1
21.438;?;?;42.625;64.125;28.25;66.375;18.75;?;1
21.328;?;21;42.5;63.875;?;66.75;18.25;43.25;1
?;?;?;?;?;29;67;?;44;1
22;?;21.375;43.75;64.25;?;67.75;18.375;?;1
?;?;?;?;64.25;?;?;18.375;44.25;1
21.672;?;?;43.125;?;29.625;67;?;?;1
21.781;?;?;43.25;62.75;?;66.75;18.625;43;1
21.609;?;?;?;62.875;?;66.625;18.75;?;1
21.719;?;?;?;64.125;?;66.75;?;?;1
?;?;20.375;43.375;63.75;28.25;65.5;?;?;1
21.5;?;?;42.625;63.625;28.25;65.625;18.125;?;1
?;?;?;42.5;63;?;66.125;?;?;1
22.281;55;?;43;63.125;29.25;66;18.625;44.5;1
22.438;?;20.375;42.5;?;28.375;65.25;18.5;44.625;1
22;?;?;42.375;62;28.25;63.875;?;44.5;1
21.781;?;?;?;61.75;28.875;63.25;?;?;1
22.438;?;?;41.875;?;?;62.875;?;?;1
?;?;19.625;41.625;60.25;?;?;?;?;1
?;?;19.875;?;60.625;28.875;?;?;?;1
23.828;53.625;?;?;?;?;62.5;?;45;1
23.781;?;20.25;?;60.125;?;61.75;?;?;1
23.938;?;?;40;59.5;28.75;?;?;45;1
?;?;?;?;59.5;?;62.5;?;46;1
24.5;?;20;?;59.75;29.375;62;?;?;1
24.438;?;20;42.375;59.625;29;63.125;?;?;1
?;?;19.75;?;60.375;28.875;63.75;19.5;46.75;1
24.672;?;20.625;?;60.875;29.375;64.125;?;?;1
24.109;?;20.75;41.25;61;29;63.625;?;45.875;1
24.391;?;?;42.875;61.5;29.75;64.75;19.5;?;1
24.609;?;20.5;42.875;61.25;29.625;64.75;?;?;1
24.828;?;20.625;43.625;61.875;29.375;?;?;47.25;1
?;54.25;?;?;?;?;64.875;20.25;?;1
?;?;21.125;44.75;63.25;29.875;65.75;20.875;?;1
25.219;?;?;45;63.5;30.25;66.5;?;?;1
24.109;?;?;?;62.75;?;65.625;20.125;47.875;1
24.391;55.25;21.125;45.125;62.75;?;?;?;?;1
24.281;?;21.5;44.25;?;?;65.5;?;?;1
24.938;?;22.375;44.25;62.875;29.25;?;21.25;?;1
25.719;?;23;45.125;64;29.5;65.25;21.5;?;1
?;?;?;44.5;64;?;65.5;?;?;1
25.672;?;?;?;64.125;?;65.875;21.25;?;1
25.672;?;22.375;?;63.5;?;65.125;?;48;1
?;?;?;43.75;63.875;29.125;65.625;20.75;48.125;1
?;?;21.625;?;64;29;?;20.375;?;1
26.109;53;21.75;?;?;29.875;66;?;?;1
?;53;?;43.75;64.25;29.375;66;21.25;48;1
26.281;52.75;23;?;?;30.25;66.5;?;47.875;1
26.172;?;22.25;?;64.375;?;?;?;?;1
?;?;?;43.875;?;29.875;65.375;20.875;46;1
26.109;53;22.5;?;64.375;30;?;20.875;?;1
26.219;?;22.75;?;64.25;30.375;65.125;21;?;1
26.063;?;22.375;43.25;?;31;64.75;?;47.875;1
26.438;?;?;43.875;64.5;31.5;65.375;?;?;1
26.281;?;?;?;65;32.25;66;21.125;?;1
26.281;?;?;43.5;65.375;31.625;66.125;21.5;49;1
25.781;?;22.25;43.125;?;?;66.375;21.25;?;1
25.672;53.25;?;?;64.75;31;65.625;21.125;?;1
25.828;?;22.125;?;65.125;30.625;66.625;21.5;?;1
25.609;53.75;?;42.75;?;30.625;65.75;21;?;1
25.563;?;?;41.25;63.75;?;?;20.25;?;1
25.891;?;?;?;64.25;?;65.25;?;45.5;1
26.219;?;21;41.5;?;30.375;65.625;?;?;1
25.828;?;?;40.75;64.25;30.375;65.75;?;?;1
26.5;?;21.125;41.25;64.875;30.875;66.25;?;?;1
?;?;?;?;66.125;31.25;66.5;21.875;47.125;1
27.719;?;?;41;65.75;?;67.5;21.625;?;1
27.781;53.125;?;?;?;31;67.5;21.5;46.75;1
?;52.875;?;41;65.625;?;67.75;?;?;1
27.781;?;?;?;65.125;31;67.5;20.875;?;1
?;?;21.5;?;65;30.875;66.75;?;45.375;1
26.891;?;21.5;?;64.875;30.5;68;?;?;1
27.109;51.125;21.25;?;63.875;30;67.125;?;44;1
26.5;?;20.5;39;63.125;29.875;65.375;?;?;1
26.5;?;20.75;39.25;?;?;?;19.75;?;1
26.438;?;?;?;63;30;65.625;?;?;1
26.063;?;?;?;62.625;?;64.75;19.625;?;1
26;49.5;21.5;?;?;?;64.25;?;?;1
26.281;?;21.75;39;62.75;?;65.125;?;41.75;1
?;?;21.875;38.875;64;29.625;?;20;?;1
25.938;?;21.75;39.125;64.5;30;64.125;?;41.125;1
?;49.375;21.25;39;63.875;?;63.5;19.625;?;1
25.172;?;21.125;?;63;?;?;?;?;1
26.109;49.625;?;39.125;62.25;29.75;64.75;?;41.75;1
?;?;21.25;39.25;?;?;?;19.875;?;1
26.219;?;?;?;?;?;64.875;19.875;42.125;1
26.5;49.75;?;39.625;62.5;?;65.5;20.125;?;1
?;?;22.5;?;62.875;29.5;65.75;?;42;1
?;?;22.25;?;62;?;66;?;?;1
?;?;21.875;?;61;?;?;?;42.25;1
26.438;?;22.125;?;62.875;?;65.25;?;42.125;1
?;?;?;40.125;?;30;?;?;41.875;1
?;?;22.125;40.625;64;29.875;?;?;?;1
?;?;22.125;?;64.375;?;?;?;?;1
?;?;?;40.25;63.75;30.375;67.375;?;?;1
27;?;22;?;63.875;30.25;?;20.625;?;1
?;?;?;40.625;64.125;30.25;68.75;20.375;?;1
27.781;?;22.125;41;64.875;30.375;68.75;?;?;1
?;51;?;?;64.625;30.25;?;?;?;1
27.328;51.25;?;?;65.25;30.25;69.625;?;?;1
27.281;?;?;40.625;64.625;30;70.5;?;43.375;1
27.109;?;?;?;64.75;?;70.125;?;43.625;1
27.063;?;21.75;40.625;?;?;70;?;?;1
?;?;?;40.5;65.875;?;69.375;21.375;?;1
27.281;50.375;?;40.875;?;30.375;69.5;21.625;44.25;1
27.563;50.125;21.25;?;?;30.375;69.625;21.625;44.25;1
27.438;?;21.75;?;67;?;69.375;21.75;?;1
27.672;?;?;?;?;?;?;21.875;?;1
?;?;21.625;?;69;30.875;?;21.75;?;1
?;?;?;?;69.625;?;71.5;?;44.625;1
28.172;?;?;42.5;70.125;31.625;71.375;22.375;46;1
28.328;?;21.75;41.625;?;31.5;71.5;?;?;1
28.563;?;?;42;?;?;71.625;?;46.375;1
28.5;?;?;42.125;72.25;31.5;72.25;21.875;?;1
29.219;50.75;?;42.75;?;32.625;73.75;?;47.625;1
29.391;51.125;?;43.125;?;32.625;73.5;?;?;1
29.328;?;22.75;?;74;?;73.25;22.5;46.5;1
?;?;?;?;?;32.875;73;21.875;?;1
28.609;?;22.375;42.625;73.25;32.875;72.875;?;?;1
28.891;50.75;?;?;73.25;32.875;72.25;21.5;?;1
29.109;?;?;?;72.5;32.75;72.125;?;47;1
29.781;?;?;43;74.5;?;?;?;45.25;1
29.5;?;?;42.25;75.375;?;71.875;21;45;1
?;?;22.25;43.375;77.375;?;?;22.25;45.75;1
29.781;53.375;?;?;77.875;33.25;73.25;22.5;?;1
?;?;?;?;?;32.875;72.875;21.75;?;1
29.281;?;?;?;77;33;73;21.625;45.125;1
?;?;22.125;43.875;75.75;?;73;21.375;?;1
?;52;22.75;?;75;?;?;20.375;?;1
28.781;?;?;44.125;?;?;72.5;21;44;1
28.828;53.5;23.25;44.375;76.375;34.375;72;21.75;?;1
28.828;?;?;?;?;35;71.625;22;44.875;1
28.328;?;23;43.625;78.375;35.25;72.125;21.625;?;1
?;54;23.125;43.625;?;35.125;?;21.625;?;1
28.5;?;22.75;43.375;?;?;71;21.25;43;1
28.328;?;22.5;42.875;?;?;70.5;20.625;?;1
28.438;?;22.375;43.125;78;35;70.375;?;?;1
?;?;?;43.375;77.75;35.125;69.625;19.875;?;1
?;52.125;?;?;77.75;34.875;?;20.125;42.5;1
?;?;20.75;42.5;?;?;?;18.875;?;1
?;?;?;42.375;?;32.75;68.5;?;?;1
27.391;?;?;41.875;?;33.125;?;?;41.25;1
27.063;?;?;41.625;?;?;68.25;?;?;1
?;?;?;41.375;?;?;?;19.25;?;1
27.672;50.125;?;?;?;?;69.375;?;?;1
?;?;?;41.5;?;32.875;?;19.875;42.375;1
?;?;21;41.75;?;?;69.5;?;42.125;1
27.891;?;21.125;?;76;32.75;69.375;19.875;?;1
?;?;?;40.75;?;31.875;?;19.375;41.25;1
27.063;?;?;?;?;?;69.25;19.625;41.75;1
?;?;20.5;41.5;75.375;32.5;71.5;19.875;42.125;1
?;50.5;?;41.875;76.875;32.5;?;20.5;?;1
?;?;?;?;?;31.875;70.25;20.375;42.25;1
27.719;?;?;41.75;77.375;?;70.5;20.25;41.625;1
28.5;50.125;?;?;?;31.875;70.25;?;?;1
28.281;?;?;41.875;78;31.625;70.75;?;42.75;1
28.063;?;?;40.625;?;30.75;71.625;?;43;1
27.891;50;20.75;?;76.625;?;71;?;42.875;1
?;?;20.75;39.875;76.5;29.125;71;20.5;?;1
?;50.375;20.875;39.875;76.875;?;?;20.625;42;1
?;50.625;?;?;76.75;28.875;71;21.125;41.5;1
27.391;50.5;?;?;?;28.75;70.75;?;41.875;1
?;?;20.25;39.75;76.625;?;?;20.875;42.625;1
27.172;?;20.375;40;?;28.5;?;20.875;43.75;1
?;?;20.125;40.375;76;?;69.75;?;?;1
26.719;?;19.875;40;76.125;?;?;21.5;42.25;1
26;?;?;39.75;?;25.75;69.875;21;?;1
?;?;?;39.5;75;25.625;?;?;41;1
?;?;?;?;?;25.5;?;?;41.375;1
?;50.75;?;?;74.5;25.75;68.375;21;41.125;1
26.563;?;?;?;75.125;26.25;68;?;41.25;1
27.109;?;?;?;?;27;?;?;41.75;1
26.938;?;19.75;40.5;75.25;?;67;?;41.625;1
?;?;?;39.625;?;27.75;?;21.875;41.5;1
?;50.875;?;40.25;76.75;28;?;?;?;1
26.719;?;?;40.75;77.125;27.875;?;21.625;?;1
?;?;20.125;40.875;77.375;?;67.75;21.625;?;1
?;?;?;40.875;77.625;?;?;20.875;43;1
26.5;?;?;40.5;78;28.125;?;21.125;42;1
?;?;?;40.5;78.875;28.375;66.375;?;42.5;1
27.328;50.25;?;40.75;79.5;28.125;?;21.75;42.25;1
?;?;19.75;40.625;79.375;27.125;67.5;21.875;?;1
?;51.375;19.875;?;80;26.625;?;21.625;41.75;1
?;51.125;?;40;79.75;26.5;67;22;42.375;1
?;51.25;?;40;81;26.375;67.25;21.875;42.5;1
?;?;20;?;82.5;?;?;?;42.75;1
?;50.875;?;40.25;82.25;26.5;?;21.625;?;1
?;?;19.875;40.125;82.375;?;66.875;21.25;?;1
?;50.25;20.125;40.625;83.5;26.75;67.5;21.75;43.625;1
?;?;20;41.125;84;?;?;?;?;1
?;?;?;42.25;?;26.125;?;?;?;1
?;50.875;20;42.625;?;26.5;?;21.625;?;1
?;51.25;?;42.5;85.625;?;?;?;?;1
?;51.25;?;42.25;?;26.625;?;?;44.5;1
?;?;20.375;42.25;86.875;27;?;22.125;44.375;1
28.219;?;?;?;86.75;27.375;?;?;44.375;1
?;?;?;41.75;?;27.75;71.25;22;44.625;1
?;?;19.875;?;88.125;27.875;71.125;22.5;45.125;1
28.281;?;?;43.625;89;?;71.25;22.875;?;1
?;?;?;44.375;91.25;27.75;?;?;44.75;1
?;?;?;44.125;?;27.5;?;21.75;45.5;1
?;?;?;43.25;88.875;27;?;?;45;1
?;?;?;43.375;?;27.375;?;22;45.25;1
?;?;20;?;?;?;?;?;?;1
?;?;?;?;89.125;?;?;22;45;1
27.609;?;?;43.75;89.625;?;?;22;?;1
?;?;?;?;?;?;68.375;?;45.625;1
28.281;50.875;?;43.75;89.75;27.625;?;?;45.375;1
?;50.625;?;?;88.375;27.5;67.75;21.625;?;1
?;?;?;43;88.625;27.75;?;?;?;1
?;?;?;42;86.75;27.5;?;21;44.875;1
27.109;50.75;20.125;42.375;?;?;?;?;?;1
?;?;?;43.125;?;28;67.25;21.5;44.75;1
?;?;?;42.625;87.375;28;66.25;21.25;44.5;1
?;50.875;?;43.375;?;28.375;?;22;44.75;1
?;?;?;?;88.75;28.5;?;22.125;?;1
?;50.75;?;43.875;90;?;69.375;?;?;1
?;?;?;43.875;89.75;29.125;?;?;45.25;1
?;?;21.5;44.125;?;29.625;?;22;45.125;1
?;?;?;?;89.75;29.375;68;21.875;?;1
?;?;?;44.875;90;29;?;21.625;?;1
?;53;?;45.75;90.75;29;?;22.125;?;1
29.781;53;21.625;45.5;?;28.5;?;21.875;?;1
?;53.5;?;45.875;?;?;68.625;22;44.875;1
?;54;?;45.875;92.625;28.125;?;22.5;45.25;1
?;53.375;?;44.875;89.375;27.5;?;22.25;44.125;1
29.391;53.125;?;45;89.5;27.125;?;21.5;?;1
?;53.375;21.625;45.125;90.375;27.25;?;?;43.75;1
?;?;?;45.375;90.75;?;66.125;21.5;?;1
?;?;?;45.125;90.875;?;?;21.125;42.75;1
?;53.625;?;45;90.375;?;66.375;21;43.375;1
?;54;?;45.375;90.25;26.75;?;21;43.75;1
29.938;53.625;22;?;91.125;27.125;?;20.875;?;1
?;53.75;?;45.625;92.5;27;?;22;44.125;1
?;54.25;?;?;91.875;27.5;?;22.25;44.5;1
30.063;54.25;?;45.25;?;?;?;22;45.125;1
30.5;53.875;?;44.625;?;27.25;69;22;45.125;1
?;53.5;?;45;91.625;27.625;67.875;21.75;?;1
?;53.25;?;45;91.75;27.5;?;21.375;44.75;1
?;53.75;?;?;?;?;?;?;44.5;1
30.781;54;?;45.125;91.25;?;?;?;?;1
?;54.5;?;45.125;?;28.5;?;21.5;44.375;1
31.172;?;21.375;45.125;92.5;27.75;67.625;?;44.75;1
?;54.375;21;?;?;27.375;?;21.5;44.375;1
?;55;21.375;45.625;?;?;?;22;45.25;1
31.891;?;?;45.75;93;?;?;?;?;1
32.5;?;?;46.375;94.125;27.625;?;22;44.875;0
?;56.375;?;46.375;?;26.875;?;22;45;0
?;?;?;46.125;?;27.125;?;?;44.875;0
32.438;56.875;?;45.5;88.125;27.375;?;22.5;?;0
32.219;?;20.75;?;?;27.375;?;22.125;?;0
?;?;?;?;85.875;26.75;?;22;45.25;0
?;?;?;45.25;?;?;?;21.875;45.25;0
33.672;?;20.625;45.875;?;?;?;21.75;45.125;0
33.719;55.875;?;45.25;84.75;26.875;69.875;22.125;44.875;0
?;56.75;?;?;?;27.125;?;22.125;44.75;0
?;?;?;45.125;?;26.75;?;?;44.125;0
?;56.625;?;45;?;26.75;?;?;44.25;0
34;?;?;44.875;?;26.625;?;?;?;0
34.063;?;?;?;80.375;26.75;?;?;44.75;0
33.719;57;?;?;78.75;?;68.875;?;43.875;0
?;56.375;?;43.875;78.75;26.375;68.375;?;43.25;0
?;56.25;?;43.5;?;26.25;?;21.875;42.875;0
34.5;56.25;?;43.625;79.125;26.25;?;?;42.875;0
35.563;56.5;20.875;44.125;?;26.375;?;?;43.5;0
36.281;?;?;45.125;78.875;26.25;?;?;44;0
36.609;56.75;?;45.625;78.625;26.125;69.625;22.25;43.75;0
?;57;?;?;78.75;26.875;70.125;22;?;0
?;57.25;21.125;46.125;78.875;26.125;?;22;44.25;0
?;?;?;46;?;?;?;22.125;45;0
?;57.75;?;46.5;78.75;?;?;?;?;0
?;57.75;?;45.875;?;25.875;?;22.125;45.75;0
35.172;58;?;46;80.125;?;71.75;22.25;?;0
35.219;?;?;?;80.5;25.875;?;?;45.75;0
?;58.5;?;?;?;25.375;?;22.375;45.875;0
36;?;22;45.5;?;25.125;?;22.25;44.75;0
35.719;?;?;45.5;79.625;?;?;?;45.5;0
?;?;22.5;?;79.75;?;?;?;45;0
?;?;?;45.125;79.375;?;71.375;?;46;0
?;?;?;44.875;78.875;25.25;?;?;45.125;0
?;57;21.75;?;78.75;24.625;?;?;44.875;0
?;57.625;?;45;?;25.125;?;22;45.125;0
?;58;?;44.875;?;25.625;?;?;45.375;0
?;58;21.75;44.875;79;25.5;?;?;45.25;0
34.672;57.625;?;44.875;79;?;73.125;22.25;45.5;0
34.172;?;?;44.875;79;?;?;?;45.5;0
?;?;?;?;79.375;26.375;74.5;?;?;0
?;?;21.5;?;79;26.375;?;?;45.375;0
?;?;?;45.375;78.875;26.625;73.125;22.125;45.25;0
?;57.5;21.5;45.5;79.125;26.5;?;?;45.125;0
?;57.625;?;45.5;?;26.5;?;22.125;45.125;0
?;57.625;?;?;78.5;26.25;?;?;45;0
?;?;?;46.875;78.125;26.5;?;?;45.125;0
34.5;57.5;21.75;47.75;77.375;27.125;?;22.75;46.125;0
34.328;?;?;48.125;75.625;?;?;?;?;0
?;?;?;48.125;?;27.25;?;22.5;45;0
?;58;?;?;?;26;?;22.5;44.875;0
32.422;57.875;21;46.75;?;?;73.5;?;43.875;0
32;?;?;46.375;73.625;26.125;72.625;22;43;0
?;58.625;20.5;46.25;?;26.125;?;22;43.75;0
?;?;?;46.375;?;26.375;?;?;?;0
?;58.5;?;47.25;75.5;26.125;73.875;22;45.75;0
?;?;?;47.875;?;26;?;?;46.375;0
?;59.75;21;47.75;?;26.25;?;?;46.375;0
?;59.75;?;48;?;?;?;?;46.375;0
33.75;?;21.5;47.75;?;26.625;77;22.125;46.125;0
33.75;59.875;?;47.625;78.75;?;76.625;?;46.875;0
?;60;?;47.75;79.625;?;?;22.375;48;0
?;?;?;47;77.75;?;76.5;22.25;47.875;0
?;?;?;?;77.375;?;75.375;?;47.625;0
?;59.375;?;?;72;26.75;?;22.375;48.625;0
?;58.75;?;46;71.375;25.5;75.5;22.375;48.25;0
?;58.25;?;45.75;72.25;25.75;?;22.5;48.625;0
35;?;21.75;46.125;72.375;25.75;75.5;?;48.5;0
?;57.5;?;46.25;73.25;?;75.875;22.75;48.375;0
34.25;57.125;?;?;73.375;25;77.25;22.75;48.5;0
?;?;?;48.25;72.875;25.125;?;22.875;48.375;0
35;57.375;21.25;?;73.25;25.25;79.5;?;48.375;0
34.922;?;?;48.5;74.75;25.875;79.25;22.875;?;0
?;?;?;48.125;?;25.625;78.125;22.75;48.75;0
?;?;?;48.125;?;25.5;78;22.875;48.625;0
33.422;58.125;19.875;47.625;73;25.5;?;22.75;48.375;0
33.5;57.75;?;?;73;?;?;23;49;0
34.25;?;?;48.25;?;25.75;79;?;49;0
?;58.375;20.375;48.875;?;?;?;23.25;?;0
35.5;?;20.125;48.75;?;25.625;?;?;48.5;0
?;58.875;?;48.875;?;25.5;?;22.75;48.5;0
34.828;?;?;48.625;73.5;25.375;?;22.75;48.25;0
?;?;?;48.375;73.25;?;?;22.5;?;0
?;?;?;48.75;73.25;?;79;23;47.875;0
?;59.25;?;48.375;73.125;?;?;22.75;48;0
35.328;59.125;?;?;?;?;?;?;48;0
?;59.125;?;49.375;73.25;?;?;23;48;0
?;?;?;48.875;?;25.125;77.875;22.25;47.75;0
35.172;57.5;19.75;48.375;?;?;78.375;22.5;47.5;0
35.422;57.375;?;?;70.625;24.875;?;22.625;47.625;0
36.828;?;20.375;49.5;?;25.25;?;23;48.125;0
?;?;?;49.625;?;?;79.875;22.875;?;0
?;58;?;50.125;70.75;25;?;?;48.25;0
35.672;58;?;50.125;70.75;24.625;80.125;?;48.125;0
36.172;?;?;51.125;?;24.125;?;23.5;?;0
36.5;58;20.125;51.875;?;24.25;80;23.625;48.125;0
37.578;58.25;?;51.5;72.375;24.375;?;23.875;48.375;0
?;57.75;?;51.25;?;24;?;24;?;0
37;?;?;?;?;23.625;79.5;23.625;47.5;0
?;58;?;50.125;71.875;23.625;?;24;47.5;0
?;57;?;50;?;23.375;78.75;24.5;47.75;0
?;?;?;49.75;72.75;23.75;?;24.25;46.875;0
37;?;?;49.75;73;?;?;24.5;47.125;0
?;?;?;49.5;72.625;23.75;?;24.375;47.375;0
?;?;20.875;49.875;72.75;23.375;?;?;47.375;0
?;?;?;49.75;72.75;23.625;?;?;47.875;0
?;57.375;?;51;?;?;?;25;47.875;0
?;57;21.5;?;?;?;?;24.625;47.625;0
?;57.375;21.5;50.75;?;?;?;24.625;?;0
?;?;?;50.625;?;23.25;?;24.25;47.625;0
?;57.625;?;50.625;?;23.25;?;?;47.25;0
?;?;?;50.375;72.125;?;?;23.75;47;0
?;57.25;20.875;50.75;?;?;?;23.875;46.875;0
?;57.5;?;50.75;?;22.375;?;23.75;46.75;0
38.25;?;20.625;?;70.625;23;?;23.75;46.75;0
38;?;?;52.75;70.375;23;?;23.375;46.5;0
37.75;?;?;53;69.625;22.875;?;?;47.125;0
?;58.625;?;53.25;?;22.5;?;24.375;47.625;0
?;58.75;?;52.75;?;22.125;?;24.5;47.5;0
?;59;20.5;52.75;?;21.25;?;?;47.625;0
39.172;58.75;?;52.5;?;21.75;82.5;24.5;47.625;0
?;?;?;52.5;71.5;21.625;?;24.625;47.875;0
38.922;58.375;?;?;?;?;?;24.75;48.375;0
39.672;58.75;?;52.25;71;22.125;?;?;48.125;0
