company1;company2;company3;company4;company5;company6;company7;company8;company9;binaryClass
40.922;?;?;52;?;22.125;?;24.5;47.875;0
?;55.5;19.5;?;?;21.5;?;?;45.5;0
39.5;?;19.375;49.5;68.5;21.75;?;23.5;?;0
?;54.375;19.375;50.25;?;21.375;?;?;?;0
38.5;?;?;51.375;?;21.125;?;23.375;46.875;0
39.078;54.875;19.625;51.5;68.625;?;?;?;47.375;0
?;?;?;51;?;?;?;24.625;47.375;0
38.422;54.25;?;50.125;68.25;21.375;?;24.375;47.5;0
?;53.625;?;49.875;?;21.125;?;27.125;46.875;0
38.328;?;?;49.875;?;?;?;?;?;0
?;52.5;?;?;67.125;20.875;?;25.125;?;0
?;?;18.875;49.125;66.5;?;?;25.25;?;0
?;52.25;?;48.5;?;?;?;24.75;46.5;0
?;52.5;?;?;68.625;19.75;?;24.25;?;0
?;53;18.25;48.75;?;19.5;?;24.25;46.875;0
37.578;?;18.75;?;68.625;?;?;23.5;46.875;0
?;52.75;19;48.125;69.5;18.875;81.125;23.25;47.25;0
?;?;?;47.375;68.375;18;?;?;46.875;0
?;?;?;?;68.625;18.375;?;24.25;46.875;0
?;52.25;?;48;?;18.875;?;24.125;46.875;0
?;52.25;?;47.875;?;18.75;?;?;46.875;0
?;?;?;47.875;?;?;?;?;47.125;0
37.25;51.375;?;47.375;69.125;18.75;?;23.875;46.875;0
36.922;?;18.375;47.25;69.25;18.5;?;23.625;?;0
?;?;18.25;?;69.125;18.625;?;23.25;?;0
?;50.375;?;45.25;?;?;?;22.875;?;0
38.672;49;?;44;?;18.875;?;22.875;46.875;0
?;44.125;?;?;68.25;17.625;?;21.375;45.875;0
?;?;17;?;67.625;16.375;?;21;44.5;0
?;?;17.125;?;67.5;?;?;?;44.375;0
?;43.25;?;40.125;67.75;16.375;?;21.125;45.25;0
?;?;?;39.5;67;16.625;68.625;?;45.5;0
39.828;?;17.125;39.875;65.5;17.25;68.25;?;?;0
?;?;17.125;40.375;63.5;17.625;?;?;45.5;0
?;?;?;?;62.75;17.25;65.5;?;45.875;0
?;43.5;?;40.125;?;17.375;?;?;?;0
?;?;?;39.875;62.875;17.125;?;?;?;0
?;?;16.375;39.875;?;17.125;?;?;47.375;0
40.5;?;?;?;61.625;17.25;?;?;48.125;0
?;44.75;16.125;?;61.375;16.875;66.25;?;48.25;0
?;?;16;40.25;62;17.125;67.375;21.125;49.25;0
39.25;?;16.125;?;?;17.5;68.625;?;49.375;0
?;45.25;?;?;?;17.5;?;21;49.75;0
?;?;16.125;?;62;?;?;21.5;49.25;0
?;46;?;?;61.625;18.25;69.5;22.125;?;0
39.328;?;16.125;?;61.625;?;68.875;?;49.5;0
?;?;?;?;60.875;?;?;?;?;0
38.328;45.5;?;?;?;17;66;?;?;0
?;45.5;15.125;?;60.125;17;?;?;48.25;0
?;?;15.25;?;60.25;17.375;67.25;?;48.375;0
?;46.125;15.75;?;?;17.25;?;?;?;0
38.922;45.625;?;?;61;17.125;66.875;22.5;48.625;0
?;44.875;?;44.25;?;?;68.875;23;?;0
?;?;15.375;?;61.75;17.5;?;23.25;?;0
39.578;?;15.375;44.375;61.25;?;69.5;?;?;0
?;?;16.125;?;?;?;?;24.25;49.875;0
42;46.125;?;45.25;?;?;?;?;51.25;0
?;?;?;?;63;17.875;?;22.875;?;0
?;?;15.75;45.875;?;?;?;23.25;50.5;0
?;?;?;?;62.875;?;?;23.375;50;0
?;44.125;?;?;?;?;?;?;49.25;0
?;?;15.25;45.125;?;17.75;67.25;22.25;?;0
?;?;15.625;?;62.25;?;?;?;49.375;0
?;?;15.5;?;?;17.625;66.625;22.125;?;0
?;41.375;15.25;43.25;62.25;?;?;21.875;48;0
?;?;15.375;?;?;18.125;66.75;22.5;48.125;0
40.172;?;?;?;?;?;67.5;?;?;0
?;?;?;?;62.75;18;?;23.375;?;0
?;?;14.375;42.375;62.25;?;?;23.875;48.375;0
?;?;13.875;?;60.25;?;?;?;47.5;0
?;40.5;?;41.625;59.875;17.75;?;?;47.625;0
?;?;?;?;?;?;?;?;?;0
?;?;13.25;?;58.25;?;65;?;?;0
?;?;13.25;?;?;18;?;?;46.25;0
?;?;?;41.5;54.875;?;65.125;22.25;46;0
?;?;13.125;?;51.375;?;65.375;22.375;46.5;0
?;?;?;?;50.375;18.125;66;?;?;0
40.828;?;12.875;?;?;?;65.75;?;?;0
?;?;13.25;40.75;?;17.625;64.125;?;?;0
?;39.375;13;39.625;52.5;17.5;?;22.125;?;0
42.328;?;12.875;39.25;52.125;17;62.625;21.75;?;0
42.328;?;12.75;39.5;?;?;?;?;48;0
?;?;12.875;?;?;17.625;60.75;21;?;0
?;37;?;?;56.25;?;?;?;?;0
?;36.25;13.375;39.625;53.5;17.875;60.125;?;?;0
?;36.25;13.5;?;52.875;?;?;?;?;0
42.328;36.875;13.375;?;53.125;?;?;?;?;0
?;37;13.25;39.75;?;?;?;?;?;0
?;?;13.25;?;54.5;17.5;?;21.625;47.375;0
?;?;13.625;39.375;55.125;?;?;?;?;0
?;?;13.875;38.75;?;17;?;21.25;47.125;0
?;?;?;?;55.25;16.5;?;?;?;0
?;?;14.75;?;?;16.25;61.125;20.875;47.375;0
?;?;?;?;55.125;15.625;61.25;?;?;0
?;?;14.125;?;54.5;?;61.5;?;?;0
42.578;37.25;13.875;?;54.5;?;?;?;?;0
?;?;13.875;?;?;?;60.5;21.25;50;0
?;?;13.75;?;?;16.25;?;?;50.5;0
?;?;13.5;39.5;54.625;16.25;61.625;?;49.75;0
?;?;13.625;?;?;17;?;21.5;49.75;0
?;?;13.875;?;55.25;17;?;20.875;?;0
?;38;14.375;?;?;?;?;?;?;0
?;?;14.5;?;?;17.125;?;?;49.625;0
?;?;?;?;?;17.125;61.75;21.625;50.25;0
?;?;14.125;?;55.875;16.875;?;21.5;49.75;0
?;?;14.25;?;?;?;?;?;50;0
?;37.5;14.375;?;?;?;?;?;49.625;0
?;?;?;?;?;?;?;22.375;?;0
?;37.5;15.125;?;56.5;16;?;?;?;0
?;37;15.25;?;56.25;15.875;63.5;?;?;0
?;?;15.5;?;?;?;63.875;?;50.75;0
?;?;?;42.375;55.375;16.375;?;?;50.375;0
?;37.625;?;?;55.375;?;?;?;?;0
?;?;15.625;42.75;?;15.75;63.5;?;50.75;0
?;38.875;16.25;?;?;?;?;22.75;50.875;0
?;38.5;16.375;?;?;15;?;?;?;0
?;37.75;16.5;?;?;14.875;?;?;?;0
?;?;16.375;?;?;14.75;64.375;?;?;0
?;37;?;?;55.375;14.75;?;?;?;0
?;?;?;42.5;55.875;15;?;?;?;0
?;?;15.75;42;57.125;?;?;?;50.875;0
?;37.25;?;?;?;?;?;?;51;0
?;37.75;15.5;?;56.5;16.25;?;?;50.25;0
?;?;?;?;?;?;?;?;49.75;0
?;?;15.625;?;?;17;?;22.5;49.375;0
?;37.25;?;?;?;?;65;?;?;0
?;?;15.25;43.25;?;?;65.5;?;?;0
?;?;?;?;56;?;?;23.625;?;0
?;37.375;15.125;?;?;16.75;?;?;48.125;0
?;?;15.125;42.75;56.5;?;?;?;47.625;0
47.422;37.375;?;42.25;56.25;?;?;?;48;0
47;37.25;14;?;?;?;?;?;?;0
?;36.5;13.625;?;?;?;65;?;46.75;0
?;?;13.625;?;50;?;?;?;46.5;0
?;36.625;13.625;?;?;16;64;?;46.75;0
46.672;?;13.625;41.25;?;15.75;63.375;24.25;?;0
?;35.5;13.625;40.625;?;?;62.875;24;?;0
46.5;34.75;?;?;46.75;15.375;62.5;?;?;0
?;?;13.875;40.875;?;?;62.375;?;?;0
?;?;?;41.25;48.875;?;?;?;47.75;0
?;34.5;13.75;?;?;16.25;63.125;24.875;?;0
?;?;?;?;?;?;64.125;?;49;0
?;?;13.625;?;?;?;64.125;25;48.625;0
49.172;?;?;?;?;17.25;64.375;?;?;0
?;?;13.75;43.75;?;?;?;?;?;0
50.25;33.25;13.75;?;?;?;?;?;?;0
?;?;13.875;?;?;?;?;?;?;0
?;33.75;14;?;?;?;?;?;?;0
51.328;?;14.125;44.875;46;?;64.25;?;50;0
?;?;14.25;?;?;?;64.375;?;?;0
?;34.5;?;?;?;17.375;64.75;25.375;?;0
51.922;34.625;14.75;?;?;18.125;?;?;49.75;0
52.75;34.375;14.75;?;45.75;18;64.625;?;?;0
?;34.375;14.75;?;?;17.625;64.125;?;?;0
?;?;?;?;?;?;63.875;?;49.875;0
55.078;34.375;15;?;46;17.75;?;26.5;49.75;0
?;34.375;?;?;?;17.5;61.25;?;49.625;0
?;35;15.625;42.5;?;?;?;?;50;0
?;?;15.5;?;45.625;17.75;?;27.5;50;0
?;?;15.5;?;45.375;17.875;63;?;?;0
?;?;15.875;?;?;17.75;62.25;?;?;0
57.578;35.375;15.75;?;?;?;62.5;?;?;0
56.828;?;?;43;?;?;62.25;?;49.875;0
?;?;16.125;?;?;?;63.125;?;49.875;0
?;35.875;?;43;?;17.875;63.375;?;49.875;0
55;?;?;?;45.875;17.625;64.5;?;49.625;0
?;?;?;?;45.25;?;64.25;?;50;0
58.875;?;16.125;?;44.125;18.125;?;?;50.75;0
59.75;35.75;15.75;?;?;?;?;?;50.375;0
?;35.5;16;45;?;19.375;?;?;?;0
60.125;?;16.125;?;?;18.875;?;?;50;0
59;?;15.75;?;?;?;64.75;?;49.75;0
?;?;?;?;?;19.625;65;?;?;0
58.125;?;?;?;?;?;64.75;?;49.125;0
59;34.5;16.375;?;?;?;64.5;?;49.25;0
57.375;?;?;?;34.5;?;?;?;?;0
?;?;16.375;?;?;?;61.875;?;?;0
57.625;32.125;16.25;?;?;?;62.125;?;?;0
58.75;?;16.375;?;?;?;62.125;?;47.375;0
59;32.125;17.75;?;?;18.875;?;?;47;0
?;32;19;?;?;?;62.375;?;?;0
59.125;?;18;?;38.125;?;61.875;?;?;0
?;32.125;17.75;?;39;?;?;?;?;0
?;?;?;?;?;?;?;?;44.75;0
?;32.125;16.25;?;?;?;?;?;46.125;0
?;33;?;?;?;?;61.75;?;?;0
60;32.625;?;39.875;?;?;61;?;47.125;0
61.5;?;?;40.5;?;18.125;?;?;47.625;0
61.125;31.75;?;40.75;43.625;?;?;?;48.125;0
?;31.625;16;?;?;18;63.625;28.125;47.125;0
?;?;15.875;?;?;?;64;28.125;47.125;0
60.25;?;?;?;41.25;18;62.625;?;46.875;0
59.5;31.5;?;?;?;?;63.75;?;45.625;0
59;32;15;41.125;?;?;?;?;46;0
58;31.75;14.75;40.875;?;17.875;63.5;?;45.25;0
55.875;?;?;?;?;?;61.875;?;?;0
?;?;14.25;?;?;?;?;26.875;44.25;0
?;?;?;?;?;?;59.875;?;?;0
?;29.5;?;?;42.625;?;?;?;?;0
?;27.375;15.5;?;?;14.125;?;?;?;0
?;26.75;16;?;?;?;?;?;43.625;0
?;?;15.75;38.125;?;14.375;58.375;?;?;0
55.75;26.75;16.125;?;?;14.25;?;?;?;0
?;?;16.25;38.625;?;14.625;60.75;?;?;0
54;?;?;?;44.5;?;63.875;?;42;0
?;30;15.5;38.125;?;?;62.75;?;41.25;0
52;29.75;15.125;?;?;?;62;?;40.5;0
?;?;15;?;?;?;?;?;?;0
54.5;?;14.875;?;?;15;60.375;26.125;40.125;0
53.25;27.5;14.625;?;?;14.75;?;?;?;0
?;27;15.75;?;43.75;?;62;?;40.25;0
52;26.875;15.75;?;?;?;61.25;?;40.375;0
52.375;27;15.625;?;?;?;61;?;41.75;0
?;?;15.375;35.75;?;?;?;?;?;0
?;26.125;15.375;?;43.75;?;60;?;?;0
?;27.125;15.875;?;44.875;15.75;61.375;?;39.5;0
?;27.25;15.75;?;?;16;?;?;?;0
?;?;15.625;?;43.375;?;63.875;?;37.625;0
42.5;?;?;?;41.25;?;62.375;?;?;1
?;?;14.875;?;41;?;?;?;?;0
48.375;26.25;15.125;34.75;41;?;62.125;?;?;0
?;26.375;15;34.5;?;16.125;?;?;?;0
48.75;26.25;15;?;?;17;?;?;?;0
48.25;?;14.5;?;41.375;?;61;?;?;0
48.25;24.875;14.5;?;?;?;60.625;?;39;0
?;?;14.875;?;43.625;?;61.75;?;38.625;0
?;25.5;15.25;?;?;?;62.625;?;?;0
47.25;25.25;14.875;?;?;?;63.125;?;?;0
47;?;14.75;?;?;?;63.25;?;?;0
47.375;25.25;14.75;?;?;?;63.5;?;?;0
47.625;24.875;15;?;?;?;63.625;?;?;0
47.625;25.25;15.5;?;50.875;17.25;64;25.5;39.5;0
?;?;15.875;37.625;?;17.25;63.875;25.375;39;0
?;25.375;16;?;51.875;?;64.5;?;39;0
45.625;25.125;16.5;?;50;?;63.75;?;?;1
45.25;?;?;37.375;49.875;?;64;25.375;?;1
?;?;16.375;?;?;?;?;?;39;0
?;?;15.5;38.5;47.5;?;?;?;?;1
?;?;15.75;?;?;?;?;25.625;?;1
?;25.875;?;?;45.75;15.875;63.25;?;37.125;1
40.75;?;15.75;?;47.375;?;64.625;24.375;?;1
?;24.125;15.375;38;46.625;?;66.5;24.5;?;1
?;23.75;?;37.625;?;?;66.625;24.375;?;1
?;23.625;14.625;?;46.5;?;67.75;?;?;1
44.25;23;14.75;?;47.25;?;65.875;?;38.25;1
?;22.25;?;?;47.875;?;66.875;25;?;1
42.625;22.625;15.125;?;47.625;?;67.25;25.25;?;1
43;23.375;15.125;?;47.5;?;66.875;25.375;?;1
43.5;?;?;?;?;?;?;?;?;1
?;?;?;?;50.375;?;?;?;?;1
44.375;24.625;15.125;39.25;51;?;65.75;?;?;1
?;23.375;14.75;?;?;?;?;?;35.875;1
?;22.75;?;?;?;?;64.375;?;34.875;1
44.5;22.875;14.625;?;48.875;?;?;?;36;1
?;22.375;14.375;?;49.625;?;64.875;?;?;1
?;21;14.25;?;?;?;64.375;?;33.25;1
?;20;?;?;48.875;15.125;64.25;?;?;1
?;19.25;14.375;?;?;15.75;65.625;?;?;0
?;20.75;14.625;?;50.25;?;67.375;?;31.875;0
?;20.625;15;?;52.625;?;?;25.375;?;0
?;20.125;15;?;51.75;?;66.25;?;?;0
?;20;?;?;51.25;?;66.375;?;?;0
?;22.125;15.125;38.5;?;?;?;?;?;0
46.125;22.375;15.125;?;50.625;?;66;?;33.375;1
?;22.125;15.25;38;50;15.125;?;24.25;?;1
?;22.25;?;?;?;15.125;?;?;?;1
?;23.875;15.875;?;?;?;68.5;?;?;1
?;23.375;17;38.25;?;15.125;69;?;?;1
?;23.5;17.5;38.125;?;?;?;?;33.375;1
?;23;16.625;?;49.625;?;69.75;24.5;33;1
45.375;23.125;16.625;?;?;?;?;?;31.75;1
?;23.625;17;?;?;?;70.75;24.375;?;1
?;23.75;16.75;?;50.125;14.875;69.5;?;?;1
?;23.875;?;40.75;49.5;15.125;?;25.5;?;1
45.75;24.25;16.625;40.5;?;?;?;?;?;1
?;24;17;?;?;?;69.375;24.875;?;1
?;23.375;17;?;?;?;69.75;?;34.875;1
?;22.625;17;?;?;?;?;?;?;1
46.375;22.625;17.25;?;?;16.125;70.125;26.375;?;1
?;?;17.875;?;?;?;69.5;?;35.375;1
42.625;?;?;?;?;?;?;26.25;?;1
?;?;17.375;?;?;?;67;?;?;1
44.625;23;17.375;42.5;?;?;?;26.125;?;1
43.625;23.125;17.625;?;48.875;?;68;26.625;?;1
43.875;?;17.875;?;48.125;?;68;26.5;34.25;1
?;?;18;?;46.625;?;68.625;?;?;1
43;22.625;17.875;?;43.75;?;?;?;?;1
?;23.375;?;?;?;17;?;?;?;1
?;?;17.75;?;42.25;?;68.375;?;?;1
?;23.125;17.875;?;?;?;67.875;?;?;0
?;23.625;18.25;?;44.375;?;68.75;?;?;0
46.125;23.75;?;?;?;?;68;26.625;?;0
45.5;24.625;19.875;?;45;18;66.5;?;34.125;0
44.875;24.5;20.375;?;?;?;67;?;34;0
45.125;24.125;20.5;?;?;?;66.75;?;?;1
?;24.375;19.875;?;?;?;67.25;25.875;?;0
45.125;24.625;19.75;?;?;?;67.5;25.375;?;0
44.875;25.375;19.25;46;?;?;68;?;?;0
?;?;19.375;?;43.875;?;68;?;?;0
44.875;26.125;19.625;?;?;?;68;27.25;?;0
45.25;25.75;19.625;?;?;?;68;?;?;0
?;25.25;?;?;?;?;68.625;27.375;?;0
?;26;19.875;45.625;42.5;?;68.875;27.625;37.75;0
?;25.375;19.5;45;42.25;?;?;?;?;0
?;?;20.25;?;?;?;69.75;?;?;1
?;25;?;43.75;40.25;?;70;?;?;0
?;25;?;?;?;?;69.625;?;?;0
?;25.25;19.625;?;38.875;?;70.125;?;?;0
44.875;25.375;18.625;?;?;?;69;?;36.25;0
44.75;25;18.375;43.375;38;?;67.875;?;?;0
?;25.375;18.625;?;?;?;66.5;26.625;?;0
?;25;18.375;?;38.75;?;?;25.5;?;1
44;22.5;19.375;?;31.25;?;67.375;?;36.125;1
43.75;21.25;19.375;?;28;?;67;?;35.875;1
45;?;19.5;?;27.75;?;67.25;?;?;1
45.125;?;20.25;?;?;?;67.75;?;?;1
44.375;?;20.25;?;29.375;?;68.75;23.75;?;1
?;21.375;19.875;?;?;?;69.75;?;?;1
45.375;21.125;19.875;?;?;?;69.75;?;?;1
48.25;23.375;20;?;?;19;68.5;26.375;?;0
?;25.25;19.75;?;31.875;?;70.125;26.5;?;0
?;29.25;20.5;50;?;20.625;?;?;?;1
47.125;30.625;?;?;?;?;76.375;?;?;1
?;?;21.125;?;36.5;?;75.875;?;38.125;1
48.75;29;20.125;?;?;?;76.375;?;?;1
49.125;27.5;19.875;?;?;?;?;27.875;?;1
46.875;28.125;19.375;?;?;?;74.5;?;?;1
47.25;28.875;?;?;?;?;?;27.5;?;1
47.875;29.875;19.75;?;37.375;?;75.25;?;?;0
49.375;?;19.375;?;?;?;75;?;39.75;0
49.75;28.5;18.375;50.625;?;?;73.875;28.5;?;0
51.625;?;?;51.375;?;?;?;28.75;?;0
51.125;26.5;16.625;?;?;?;76;?;38.375;0
?;28;17.25;52.625;?;?;?;?;?;0
51;27;17.5;?;?;23.125;?;27.5;41.5;0
52.25;27.5;17.375;?;?;?;?;?;?;0
51.375;26.5;18;?;47;?;76.875;28;41.875;0
?;?;?;?;?;?;?;27.75;?;0
?;27;?;?;?;?;76.5;?;?;0
48;26.375;?;?;?;?;77;?;?;1
?;?;?;?;?;?;77.25;27.75;?;0
49.375;25.375;?;?;45.125;?;?;27.625;42.5;0
48;25.125;17.75;49.625;?;?;?;27.375;?;0
?;25.5;?;49.75;?;?;75.75;26.5;?;0
?;26.25;16;?;?;?;75;26.25;40.375;0
46.875;26.25;16.125;49.125;?;?;?;27.125;?;0
46.125;24.75;15.75;?;?;?;74.125;?;?;0
47.25;?;?;47.5;?;?;75;27.375;?;0
48.25;25;14.5;?;?;?;75.5;27.125;?;0
49.25;?;?;46.5;?;?;?;?;?;0
49.5;24.375;14.875;?;?;?;75.5;?;?;0
?;?;15.25;?;?;26.75;?;27.875;42.125;0
?;?;15.25;?;?;?;77;?;?;0
?;24.25;15.75;?;?;?;?;?;?;0
49.5;23.625;15.375;49.125;?;?;77.75;?;?;0
48.375;?;15.625;?;?;?;?;28.875;?;0
47.75;23.75;15.625;49.375;40.125;?;?;?;?;0
?;28.5;15.625;?;?;?;79.25;27.875;?;0
48.375;29.125;15.5;?;?;?;78.75;?;?;0
48;28.875;15.75;?;?;?;79.5;27.875;39.75;0
48;29.5;15.875;52.25;?;?;79.75;27.875;?;0
47.125;29.375;?;52.125;?;?;79.25;27;?;0
?;?;15.375;52.875;?;?;79.75;27;?;0
?;?;?;?;?;?;80.625;?;38.625;0
47.75;29.5;?;54.25;?;28.75;?;27;?;0
47.625;31.5;15.875;?;?;?;82.75;?;?;0
48.125;32.125;?;58.25;?;?;?;?;?;0
47.625;32.75;16;57.875;?;?;83.375;27.875;40.875;0
47;?;16;?;?;?;?;27.75;?;0
46.875;34.375;?;56.5;?;?;?;?;?;0
47.25;?;16.25;?;?;?;81.75;?;?;0
?;34.375;16.25;57.25;?;?;?;?;?;0
49.125;33.375;?;?;41.375;?;?;?;?;0
?;32;15.75;?;?;?;?;26.875;37.375;0
48.875;32.5;?;?;?;?;?;?;?;0
?;31.125;?;?;?;?;?;26.25;?;0
?;?;?;53.5;?;?;81.125;?;39.5;0
47;33.5;15.375;?;?;?;?;?;?;0
46.875;33.5;?;?;?;28.25;80.875;27.625;?;0
46.625;33.25;15.875;?;42.75;?;82;27.75;40.75;0
46.5;33.375;15.875;?;?;28;82;27.75;?;1
47;?;16.25;55.625;?;28.875;?;27.625;39.625;1
47.25;?;16.125;56.75;?;?;?;?;39.375;1
46.75;35.25;15.75;?;?;?;80.125;?;?;1
?;35;?;?;?;27.25;78.25;27.625;?;1
47.5;?;?;?;?;?;?;27.875;39.625;1
47.75;37.5;15.75;56.875;?;?;?;27.875;39.625;1
?;37;?;?;?;?;79;27.375;39.125;1
46.125;36.5;?;?;?;?;?;?;?;1
?;37.25;15.875;?;?;?;?;27.5;?;1
45.75;?;16.125;?;?;?;?;?;39.625;1
45.5;39;17.5;?;?;?;?;?;40;1
?;38.375;?;54.875;?;?;81.25;?;?;1
46.625;39;17.75;54.25;48.25;23.375;?;26.75;40.625;1
?;39.5;16.875;?;?;?;81.25;26.625;40;1
47;40;?;?;?;?;?;26.375;?;1
?;40;17.375;56.5;?;?;?;25.875;?;1
48.125;39.625;?;57.25;?;?;?;?;?;1
47;?;?;?;?;?;?;26.25;?;1
?;39;?;?;?;?;?;?;39.625;1
46.75;39.125;?;56;?;22.125;?;?;?;1
46.125;38.875;15.75;56.375;?;?;?;?;39.5;1
?;?;?;?;?;?;?;26.75;?;1
?;39;?;57.75;?;22.75;?;?;39.875;1
46;39.25;16.125;?;?;?;?;27.375;?;1
?;39.625;?;57.375;50.75;?;?;?;?;1
46.75;39.625;16;56.875;49.625;?;?;27.125;40;1
?;?;?;?;50;22.5;81.625;26.125;?;1
46.375;39;?;?;?;?;?;26.875;40.125;1
46.75;39.25;?;59.25;51.375;?;82.125;27;39.875;1
?;38.75;?;59.75;?;23;?;27.25;?;1
?;?;17.375;60.125;?;?;83.25;27.75;?;1
?;38.375;17.75;59.5;?;?;?;28;?;1
48.375;39.75;?;?;?;?;?;27.75;43.25;1
48.25;?;17.625;58.375;?;?;?;27.75;?;0
?;39.875;17.125;57.75;?;25.125;?;27.625;42.5;0
47.75;39;17.5;?;?;?;?;27.5;42.75;1
48;39.25;?;56.375;52.5;?;81.75;26.75;?;1
?;38.875;?;?;?;?;?;26.375;?;1
?;38.875;?;56.375;?;?;80.875;?;?;1
?;38.5;17.25;56.5;?;?;?;?;?;1
48.375;38.25;?;?;54.5;?;?;?;?;1
49.375;38.75;17.75;56.75;?;?;82.625;26.875;41.25;1
?;39;17.75;57;?;?;?;26.375;?;1
49.5;40;?;56.5;?;25.75;?;26.875;41;1
?;40;17.625;56.5;?;25.5;?;?;41;1
48.75;41.25;?;?;?;?;?;27.125;?;1
?;?;17.5;56.875;?;?;?;27.125;?;1
45.625;?;?;?;50;?;79.625;?;41.375;1
45.75;40.25;17.5;55.25;?;25.25;?;?;?;1
?;40.875;?;?;?;?;?;?;41.5;1
45.5;40.75;?;?;52;?;80;27.75;?;1
45.75;41.875;17.875;55.875;?;?;?;27.875;42.125;1
46;42.75;?;?;?;?;?;27.625;42.375;1
45.75;42.5;17.875;56.625;?;?;80;?;42;1
?;42.125;?;?;?;?;79.375;27.5;?;1
?;?;?;56.5;?;?;?;27.75;42.25;1
44.25;42.875;18.375;56.5;?;?;?;27.5;?;1
44.375;41.75;18.25;?;?;25.375;?;26.875;?;1
?;42;?;56.375;?;26.125;?;?;42.125;1
45.5;42.25;?;56.625;?;?;81.75;?;42.25;1
?;?;?;57;58.5;?;?;26.875;?;1
45.625;44.125;?;?;?;?;?;26.75;43.5;1
45.625;43.75;?;57.25;?;27.625;84.25;27.25;?;1
45.25;44;18.375;57.25;?;?;?;?;?;1
44.875;44;?;?;?;?;84;27.25;44.625;0
43.75;?;?;59.875;?;?;?;27.375;?;0
43.25;?;?;59.375;?;?;?;27;44;0
43.75;44.125;19;59;53;28.375;?;26.875;44.5;0
43.875;44.5;?;57.5;?;29.375;?;26.625;44.5;0
44;44.5;?;?;?;?;?;26.75;45.125;0
43.625;?;19.125;57.375;54;?;?;26.125;?;0
44.375;43;?;57;?;?;?;26.25;?;0
46.5;44.625;19.75;57.25;?;30;85;26.625;?;0
46.375;?;?;?;?;29.75;?;27.125;?;1
45.25;44;?;?;56.375;29;?;27;?;0
45.5;44;?;56.75;?;29.125;?;?;44.875;1
45.5;?;?;?;?;29;84.375;?;?;1
46.25;43.5;?;57.625;?;29.5;?;27.5;44.25;1
46.5;43.75;19.5;?;?;?;83;27;44.5;1
46.75;?;?;?;?;?;82.875;?;44.875;1
46.375;44.125;19.75;56.75;?;29.25;?;26.25;45;1
46;44.125;?;?;?;?;?;?;45;1
46.25;44.25;?;?;?;?;?;?;?;1
46.75;44.25;?;?;?;?;85.5;?;43.375;1
?;44.625;19.625;57.5;?;29.375;?;26.25;43.25;1
46.25;?;19;57.875;?;?;?;?;?;1
45.375;44.25;?;57.125;?;?;?;?;42.5;1
45.875;46.75;?;58.625;?;?;87.25;?;?;1
48.25;?;?;57.5;?;?;85.875;26;42.75;0
48.625;42.375;?;?;51.125;?;85.375;26.625;?;0
48.625;?;?;58;53.25;?;?;?;44.125;0
48.75;41.75;?;?;51.125;?;83.5;?;43.625;0
49;40.125;18.875;?;?;28;83.375;?;42.875;0
?;41.5;?;?;?;27.75;83.625;?;?;0
?;41;?;?;?;?;?;26.5;43.5;0
?;?;18.375;52.75;?;?;82;?;?;0
49.625;42.5;?;52.875;?;?;80.25;?;43;0
50.5;42.375;18.625;?;?;?;?;?;43.5;0
52.125;42.125;?;53.125;?;?;81.25;?;?;0
52.375;?;?;54;?;?;?;26.625;?;1
?;42.25;?;53.625;?;26.375;?;26.875;43.25;1
?;41.875;?;52.625;?;?;?;26.375;?;1
50;41.125;19.125;51.75;?;?;?;?;42.125;1
?;41.125;19;?;?;?;?;?;?;1
48.625;40.75;19;?;?;22.875;?;?;?;1
?;39.625;?;?;55.125;?;?;26.875;42.875;1
?;40.5;?;?;?;?;?;?;?;0
?;41.125;?;?;?;21.625;?;26.875;42.375;0
?;40.75;?;?;58.625;?;?;?;?;1
49.75;40.875;?;52.75;?;?;77.75;?;42.375;1
?;41.75;20.125;?;57.125;23.125;?;26.5;?;1
50.25;45.625;?;52.5;?;?;?;26.75;42.25;1
?;?;19.75;52.5;?;24.75;80;?;42;1
?;48.75;?;53.25;62;24.5;?;26.5;42.375;1
50.375;46.25;19.375;52.25;61.875;?;?;26.625;41.875;1
?;46.375;?;?;?;23.25;?;?;40.75;1
50.625;46.625;?;50.875;?;23.25;?;26.25;41.25;1
50.125;47;?;50.75;?;?;?;25.25;?;1
49;47;?;49.5;?;22.75;?;25.5;40.5;1
