CRIM,ZN,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,CHAS,outcome
0.00632,18.0,2.31,0.5379999999999999,6.575,65.2,4.09,?,296.0,15.3,396.9,4.98,0.0,0
0.02731,0.0,7.07,0.469,6.421,78.9,49.67100000000001,?,242.0,17.8,396.9,9.14,0.0,1
0.02729,0.0,7.07,0.469,7.185,61.1,49.67100000000001,2.0,242.0,17.8,392.83,4.03,0.0,0
0.03237,0.0,2.18,0.458,6.997999999999998,45.8,60.622,3.0,222.0,18.7,394.63,2.94,0.0,0
0.06905,0.0,2.18,0.458,?,54.2,60.622,3.0,222.0,18.7,?,5.33,0.0,0
0.02985,0.0,2.18,0.458,?,58.7,60.622,3.0,222.0,18.7,?,5.21,0.0,0
0.08829,12.5,7.87,0.524,6.0120000000000005,66.6,55.605,5.0,311.0,15.2,395.6,?,0.0,0
0.14455,12.5,7.87,0.524,6.1720000000000015,96.1,59.505,5.0,311.0,?,396.9,19.15,0.0,0
0.21124,12.5,7.87,0.524,5.631,100.0,60.82100000000001,5.0,311.0,?,?,29.93,0.0,1
0.17004,12.5,7.87,0.524,?,85.9,65.921,5.0,?,15.2,386.71,17.1,0.0,1
0.22489,12.5,7.87,0.524,6.377000000000002,94.3,?,5.0,311.0,15.2,392.52,20.45,0.0,1
0.11747,12.5,7.87,?,6.009,82.9,62.267,5.0,311.0,15.2,396.9,13.27,0.0,1
0.09378,12.5,7.87,0.524,5.8889999999999985,39.0,54.50899999999999,5.0,311.0,15.2,390.5,15.71,0.0,1
0.62976,0.0,8.14,0.5379999999999999,5.949,61.8,47.075,4.0,307.0,21.0,396.9,8.26,0.0,1
0.6379600000000001,0.0,8.14,0.5379999999999999,6.096,84.5,44.619,4.0,307.0,21.0,380.02,10.26,0.0,1
0.62739,0.0,8.14,0.5379999999999999,5.834,56.5,44.986,4.0,307.0,21.0,395.62,8.47,0.0,1
105.393,0.0,8.14,0.5379999999999999,5.935,29.3,44.986,4.0,307.0,21.0,?,6.58,0.0,0
0.7842,0.0,8.14,0.5379999999999999,5.99,81.7,42.57899999999999,4.0,307.0,21.0,386.75,14.67,0.0,1
0.80271,0.0,?,?,5.456,?,37.965,4.0,?,21.0,288.99,11.69,0.0,1
0.7258,0.0,8.14,0.5379999999999999,5.727,69.5,37.965,4.0,307.0,21.0,?,11.28,0.0,1
125.179,?,8.14,0.5379999999999999,5.57,98.1,37.979,4.0,?,21.0,376.57,21.02,0.0,1
0.8520399999999999,0.0,8.14,0.5379999999999999,5.965,89.2,40.12300000000001,4.0,307.0,21.0,392.53,13.83,0.0,1
123.247,0.0,8.14,0.5379999999999999,6.142,91.7,39.769,4.0,?,21.0,396.9,18.72,0.0,1
0.98843,0.0,8.14,0.5379999999999999,5.813,?,40.952,4.0,307.0,21.0,394.54,19.88,0.0,1
0.75026,0.0,?,0.5379999999999999,5.924,?,43.996,?,307.0,21.0,?,16.3,0.0,1
0.84054,0.0,8.14,?,5.599,85.7,44.54600000000001,4.0,307.0,21.0,303.42,16.51,?,1
0.67191,0.0,8.14,0.5379999999999999,?,90.3,4.682,4.0,?,21.0,376.88,14.81,0.0,1
?,0.0,8.14,0.5379999999999999,6.0470000000000015,88.8,44.534,4.0,307.0,21.0,306.38,17.28,0.0,1
0.77299,0.0,?,0.5379999999999999,6.495,94.4,44.547,?,307.0,21.0,?,12.8,0.0,1
100.245,0.0,8.14,0.5379999999999999,6.674,87.3,4.239,4.0,307.0,21.0,380.23,11.98,0.0,1
?,0.0,8.14,0.5379999999999999,5.712999999999999,94.1,4.2330000000000005,4.0,307.0,21.0,360.17,22.6,0.0,1
135.472,0.0,8.14,0.5379999999999999,6.072,100.0,4.175,4.0,307.0,21.0,376.73,13.04,0.0,1
138.799,0.0,8.14,0.5379999999999999,5.95,82.0,3.99,4.0,307.0,21.0,232.6,27.71,0.0,1
115.172,?,8.14,0.5379999999999999,5.7010000000000005,95.0,37.872,4.0,307.0,21.0,358.77,18.35,0.0,1
161.282,0.0,8.14,0.5379999999999999,6.096,96.9,37.598,4.0,307.0,21.0,248.31,20.34,0.0,1
0.06417,?,5.96,0.499,5.933,68.2,33.603,?,?,19.2,396.9,9.68,0.0,1
0.09744,0.0,5.96,0.499,5.841,61.4,33.779,5.0,279.0,19.2,?,?,0.0,1
0.08014,0.0,5.96,0.499,5.85,41.5,39.342,5.0,279.0,19.2,396.9,8.77,0.0,1
0.17505,0.0,?,0.499,5.966,30.2,38.473,5.0,?,19.2,393.43,10.13,0.0,0
0.02763,75.0,2.95,?,6.595,21.8,54.011,3.0,252.0,18.3,395.63,4.32,0.0,0
0.033589999999999995,75.0,?,0.428,7.024,15.8,54.011,3.0,252.0,?,395.62,1.98,0.0,0
0.12744,0.0,6.91,0.448,6.77,2.9,57.209,3.0,?,?,385.41,4.84,?,0
0.1415,0.0,6.91,0.448,6.169,?,57.209,3.0,233.0,17.9,383.37,5.81,0.0,0
0.15936,0.0,6.91,0.448,6.211,6.5,?,3.0,233.0,17.9,394.46,7.44,0.0,0
0.12269,0.0,6.91,0.448,6.069,40.0,57.209,3.0,233.0,17.9,389.39,?,0.0,1
0.17142000000000002,0.0,6.91,0.448,5.682,33.8,51.004,3.0,233.0,17.9,396.9,10.21,0.0,1
0.18836,0.0,6.91,0.448,5.7860000000000005,33.3,51.004,?,?,?,396.9,14.15,0.0,1
0.22927,0.0,6.91,0.448,6.03,85.5,56.894,?,?,17.9,?,18.8,0.0,1
0.25387,0.0,6.91,0.448,5.399,95.3,5.87,?,233.0,17.9,396.9,?,0.0,1
0.21977,0.0,6.91,0.448,5.602,62.0,60.877,?,233.0,17.9,396.9,16.2,0.0,1
0.08872999999999999,21.0,5.64,?,5.962999999999999,45.7,68.14699999999999,4.0,243.0,16.8,395.56,13.45,0.0,1
0.04337,21.0,5.64,0.439,6.115,?,68.14699999999999,4.0,243.0,16.8,393.97,9.43,0.0,1
0.0536,21.0,5.64,0.439,?,21.1,68.14699999999999,4.0,?,16.8,396.9,5.28,0.0,0
0.04981,21.0,5.64,0.439,5.997999999999998,?,68.14699999999999,4.0,243.0,16.8,396.9,8.43,?,0
0.0136,75.0,4.0,0.41,5.888,47.6,?,3.0,469.0,?,?,14.8,0.0,1
0.01311,90.0,1.22,?,7.249,21.9,86.96600000000002,?,226.0,17.9,395.93,4.81,0.0,0
0.02055,85.0,0.74,0.41,6.382999999999999,35.7,?,2.0,313.0,17.3,396.9,5.77,0.0,0
0.01432,100.0,1.32,?,6.816,40.5,83.24799999999998,5.0,256.0,15.1,392.9,3.95,0.0,0
0.15445,25.0,5.13,0.453,6.145,29.2,?,?,284.0,19.7,390.68,6.86,0.0,0
0.10328,25.0,5.13,0.453,5.9270000000000005,47.2,6.932,?,284.0,19.7,396.9,9.22,0.0,1
0.14932,25.0,5.13,0.453,5.7410000000000005,66.2,72.25399999999998,8.0,?,19.7,?,13.15,0.0,1
0.17171,25.0,5.13,0.453,5.966,93.4,68.185,8.0,284.0,19.7,378.08,14.44,0.0,1
0.11027,25.0,5.13,?,6.456,67.8,72.255,8.0,284.0,19.7,396.9,6.73,0.0,1
0.1265,25.0,5.13,0.453,6.7620000000000005,?,?,8.0,284.0,19.7,395.58,9.5,0.0,0
0.01951,17.5,1.38,0.4161,7.104,59.5,?,3.0,216.0,?,393.24,8.05,0.0,0
0.03584,80.0,3.37,0.398,?,17.8,66.115,4.0,337.0,16.1,396.9,4.67,0.0,0
0.04379,80.0,3.37,0.398,5.787000000000001,31.1,?,4.0,337.0,16.1,396.9,10.24,0.0,1
0.05789,12.5,6.07,?,5.877999999999999,21.4,6.497999999999998,4.0,345.0,18.9,396.21,8.1,0.0,1
0.13554000000000002,12.5,6.07,?,5.5939999999999985,?,6.497999999999998,?,345.0,18.9,?,13.09,?,1
0.12816,12.5,6.07,?,5.885,33.0,6.497999999999998,4.0,345.0,18.9,396.9,8.79,0.0,1
0.08826,0.0,10.81,?,6.417000000000002,?,52.87300000000001,4.0,305.0,19.2,383.73,?,0.0,0
0.15875999999999998,0.0,10.81,0.413,5.961,17.5,52.87300000000001,4.0,305.0,19.2,376.94,9.88,0.0,1
0.09164,0.0,10.81,0.413,6.065,7.8,52.87300000000001,4.0,305.0,19.2,?,5.52,?,0
0.19539,?,10.81,?,6.245,?,52.87300000000001,4.0,305.0,19.2,377.17,7.54,0.0,0
0.07896,0.0,12.83,0.4370000000000001,6.273,6.0,42.515,5.0,398.0,18.7,394.92,6.78,0.0,0
0.09512,0.0,12.83,?,6.2860000000000005,45.0,45.026,?,398.0,?,383.23,8.94,0.0,1
0.10153,0.0,12.83,0.4370000000000001,6.279,74.5,40.522,5.0,398.0,18.7,373.66,11.97,0.0,1
0.08707000000000001,0.0,12.83,?,6.14,45.8,?,?,?,18.7,386.96,10.27,0.0,1
0.05646,0.0,12.83,0.4370000000000001,6.232,53.7,50.14100000000001,?,398.0,18.7,386.4,12.34,0.0,1
0.08387,0.0,12.83,?,5.874,36.6,?,5.0,398.0,18.7,396.06,9.1,0.0,1
?,25.0,4.86,0.426,6.727,33.5,?,4.0,281.0,19.0,396.9,5.29,0.0,0
0.04462,25.0,4.86,0.426,6.619,70.4,54.007,4.0,281.0,19.0,395.63,7.22,0.0,0
0.03659,25.0,4.86,0.426,6.3020000000000005,32.2,54.007,4.0,?,19.0,396.9,6.72,0.0,0
0.03551,25.0,4.86,0.426,6.167000000000002,?,?,?,281.0,19.0,390.64,7.51,0.0,0
0.05059,?,4.49,0.449,6.3889999999999985,48.0,47.794,3.0,247.0,18.5,396.9,9.62,0.0,0
0.05735,0.0,4.49,0.449,6.63,?,44.377,3.0,247.0,18.5,392.3,6.53,0.0,0
0.05188,0.0,4.49,0.449,6.015,45.1,44.272,3.0,247.0,18.5,395.99,12.86,0.0,1
0.07151,0.0,4.49,0.449,6.121,?,37.476,3.0,247.0,18.5,395.15,8.44,0.0,1
0.0566,0.0,?,0.489,7.0070000000000014,86.3,34.217,?,270.0,17.8,396.9,5.5,0.0,0
0.053020000000000005,0.0,?,0.489,7.079,63.1,34.145,2.0,?,17.8,396.06,5.7,0.0,0
0.04684,0.0,?,0.489,6.417000000000002,66.1,30.923,2.0,270.0,17.8,392.18,8.81,0.0,0
0.03932,0.0,3.41,0.489,6.405,73.9,30.921,2.0,270.0,17.8,393.55,?,0.0,1
0.04203,28.0,15.04,0.464,?,53.6,36.659,?,270.0,18.2,395.01,8.16,0.0,0
0.02875,28.0,15.04,?,6.211,?,36.659,4.0,270.0,18.2,396.33,6.21,0.0,0
0.04294,28.0,15.04,?,6.249,77.3,3.615,4.0,270.0,18.2,?,10.59,0.0,1
0.12204,0.0,2.89,0.445,6.625,57.8,34.952,2.0,276.0,18.0,357.98,6.65,0.0,0
0.11504,0.0,?,0.445,6.1629999999999985,69.6,34.952,2.0,276.0,18.0,391.83,11.34,0.0,1
0.12083,?,?,0.445,?,76.0,34.952,2.0,276.0,18.0,396.9,4.21,0.0,0
0.08187,0.0,2.89,0.445,?,36.9,34.952,2.0,276.0,18.0,393.53,3.57,0.0,0
0.0686,0.0,2.89,0.445,7.416,62.5,34.952,2.0,276.0,18.0,396.9,6.19,0.0,0
0.14866,0.0,8.56,0.52,6.727,?,27.778,5.0,384.0,20.9,?,9.42,0.0,0
0.11432,0.0,8.56,0.52,6.7810000000000015,71.3,28.561,5.0,384.0,20.9,395.58,7.67,0.0,0
0.22876,0.0,8.56,0.52,6.405,85.4,27.147,5.0,384.0,20.9,70.8,10.63,0.0,1
0.21161,0.0,8.56,?,6.1370000000000005,87.4,27.147,5.0,384.0,20.9,?,13.44,0.0,1
?,0.0,8.56,0.52,6.167000000000002,90.0,2.421,5.0,384.0,20.9,392.69,12.33,0.0,1
0.13262000000000002,0.0,8.56,0.52,5.851,96.7,21.069000000000006,5.0,384.0,20.9,394.05,16.47,0.0,1
0.1712,0.0,?,?,5.836,91.9,2.211,5.0,384.0,20.9,395.67,18.66,?,1
0.13117,0.0,8.56,0.52,6.127000000000002,85.2,21.224,5.0,384.0,20.9,387.69,14.09,0.0,1
0.12802,?,8.56,?,6.474,97.1,24.329,5.0,384.0,20.9,395.24,12.27,0.0,1
0.26363000000000003,0.0,8.56,0.52,6.229,91.2,25.451,5.0,384.0,20.9,391.23,15.55,0.0,1
0.10793,0.0,8.56,0.52,6.195,54.4,27.778,5.0,384.0,20.9,393.49,13.0,0.0,1
0.10084,0.0,10.01,?,6.715,81.6,26.775,6.0,432.0,17.8,395.59,10.16,0.0,0
0.12329,0.0,10.01,0.547,5.9129999999999985,92.9,23.534,6.0,432.0,17.8,394.95,16.21,0.0,1
0.22212,0.0,10.01,0.547,6.0920000000000005,95.4,2.548,6.0,432.0,17.8,396.9,17.09,0.0,1
0.14231,0.0,?,0.547,6.254,84.2,22.565,6.0,432.0,17.8,388.74,10.45,0.0,1
0.17134000000000002,0.0,10.01,0.547,5.928,88.2,24.631,?,432.0,17.8,?,15.76,0.0,1
0.13158,0.0,10.01,0.547,6.176,72.5,27.301,6.0,432.0,17.8,393.3,12.04,0.0,1
0.15098,0.0,10.01,0.547,6.021,82.6,27.474,6.0,432.0,17.8,394.51,10.3,0.0,1
?,0.0,10.01,0.547,5.872000000000001,73.1,24.775,6.0,432.0,17.8,338.63,15.37,0.0,1
0.14476,0.0,10.01,0.547,5.731,65.2,27.592,?,432.0,17.8,391.5,13.61,0.0,1
0.06899,0.0,25.65,0.581,5.87,69.7,22.577,2.0,188.0,19.1,389.15,14.37,?,1
0.07165,0.0,25.65,?,6.004,84.1,21.974,?,188.0,19.1,377.67,14.27,?,1
0.09299,0.0,25.65,0.581,5.961,92.9,20.869,2.0,188.0,19.1,378.09,17.93,0.0,1
0.15038,0.0,25.65,0.581,5.856,97.0,19.444000000000006,2.0,188.0,19.1,?,25.41,0.0,1
0.09849,0.0,25.65,0.581,5.879,95.8,20.063,2.0,188.0,19.1,379.38,17.58,0.0,1
0.16902,?,25.65,0.581,5.9860000000000015,88.4,19.929,2.0,188.0,19.1,?,14.81,0.0,1
0.38735,?,?,0.581,5.613,95.6,17.572,2.0,188.0,?,359.29,27.26,0.0,1
0.25915,0.0,21.89,0.624,5.693,96.0,17.883,?,437.0,21.2,392.11,?,0.0,1
0.32543,0.0,21.89,0.624,6.431,98.8,18.125,4.0,437.0,21.2,396.9,?,0.0,1
0.88125,0.0,21.89,0.624,5.6370000000000005,94.7,19.799,4.0,437.0,21.2,396.9,18.34,0.0,1
0.34006,?,21.89,0.624,6.457999999999998,98.9,21.185,4.0,?,21.2,395.04,12.6,0.0,1
119.294,0.0,?,0.624,?,97.7,2.271,4.0,437.0,21.2,396.9,12.26,0.0,1
0.59005,0.0,21.89,0.624,6.372000000000001,97.9,?,4.0,437.0,21.2,385.76,11.12,0.0,0
?,0.0,21.89,0.624,5.822,95.4,24.699,?,437.0,21.2,388.69,15.03,0.0,1
0.97617,0.0,21.89,?,5.7570000000000014,98.4,2.346,4.0,437.0,21.2,262.76,17.31,?,1
0.55778,0.0,21.89,0.624,?,98.2,21.107,4.0,437.0,21.2,394.67,16.96,0.0,1
0.32264,0.0,?,0.624,5.942,93.5,19.669,4.0,?,21.2,378.25,16.9,0.0,1
?,0.0,21.89,0.624,6.454,98.4,18.498,4.0,437.0,21.2,394.08,14.59,?,1
0.2498,0.0,21.89,0.624,5.857,98.2,?,?,437.0,21.2,392.04,21.32,0.0,1
0.54452,0.0,21.89,0.624,6.151,97.9,16.687,?,437.0,21.2,396.9,?,0.0,1
0.2909,0.0,21.89,0.624,6.174,93.6,16.119,4.0,437.0,21.2,388.08,24.16,0.0,1
162.864,0.0,21.89,0.624,?,100.0,14.394,4.0,437.0,21.2,396.9,?,0.0,1
332.105,0.0,19.58,0.871,5.403,100.0,13.216,5.0,403.0,14.7,396.9,26.82,?,1
40.974,0.0,19.58,0.871,5.468,100.0,14.118,5.0,403.0,?,396.9,26.42,0.0,1
277.974,0.0,19.58,0.871,4.9030000000000005,97.8,13.459,5.0,403.0,14.7,396.9,?,0.0,1
?,0.0,19.58,0.871,6.13,100.0,14.191,5.0,403.0,?,172.91,?,0.0,1
215.505,0.0,19.58,0.871,5.627999999999999,100.0,15.166,5.0,403.0,14.7,169.27,16.65,0.0,1
236.862,0.0,19.58,0.871,4.926,95.7,14.608,5.0,403.0,?,391.71,?,0.0,1
233.099,0.0,19.58,0.871,5.186,93.8,15.296,5.0,403.0,14.7,356.99,?,0.0,1
273.397,0.0,19.58,0.871,5.597,94.9,15.257,5.0,403.0,?,351.85,21.45,0.0,1
16.566,0.0,19.58,0.871,?,97.3,1.618,5.0,403.0,?,372.8,14.1,0.0,1
149.632,0.0,19.58,0.871,5.404,100.0,15.916,5.0,403.0,14.7,341.6,13.28,?,1
112.658,0.0,19.58,0.871,5.012,88.0,16.102,5.0,403.0,14.7,343.28,12.12,1.0,1
214.918,0.0,19.58,0.871,5.709,98.5,16.232,5.0,403.0,14.7,261.95,15.79,0.0,1
141.385,?,19.58,0.871,6.129,96.0,17.494,5.0,403.0,?,321.02,15.12,1.0,1
353.501,0.0,19.58,0.871,6.152,82.6,17.455,?,403.0,?,88.01,15.02,?,1
244.668,?,19.58,0.871,5.272,94.0,17.364,5.0,403.0,14.7,88.63,16.14,0.0,1
122.358,0.0,19.58,0.605,?,97.4,18.773,5.0,403.0,14.7,363.43,4.59,0.0,0
134.284,0.0,19.58,0.605,6.066,100.0,17.573,5.0,403.0,14.7,353.89,6.43,0.0,0
142.502,0.0,19.58,0.871,6.51,100.0,17.659000000000006,?,403.0,?,?,7.39,0.0,0
127.346,0.0,19.58,0.605,6.25,92.6,17.984,5.0,403.0,14.7,338.92,5.5,?,0
146.336,0.0,19.58,0.605,?,90.8,19.709,5.0,403.0,14.7,374.43,1.73,0.0,0
183.377,0.0,19.58,0.605,?,98.2,20.407,5.0,403.0,14.7,389.61,1.92,1.0,0
